
Please simulate the temperature change of a platinum resistance sensor in a medium. It is known that the temperature of the measured medium (`Tg`) is stable at 100°C. The volume of the sensor (`V`) is 1.15*10^(-9), the comprehensive specific heat (`c`) is 456, the sensor surface area (`Ar`) is 5.31*10^(-6), the convective heat transfer coefficient (`alpha`) is 800, and the comprehensive density (`pho`) is 7980. The initial temperature of the sensor (`Tj`) is 25 °C. Please help me realize the Modelica model named `RTD_Pt100` where the medium temperature (`Tg`) is defined as an **input** and the sensor temperature (`Tj`) is defined as an **output**. The model should calculate the temperature change of the sensor over time based on the heat balance between the sensor and the medium.

//modelica
```model RTD_Pt100
  extends Modelica.Icons.Function;
  parameter Real RRRRR=1;
  parameter Real SSSSS=1;
  parameter Real TTTTT=1;
  parameter Real UUUUU=1;
  parameter Real VVVVV=1;
  parameter Real WWWWW=1;
  parameter Real XXXXX=1;
  parameter Real YYYYY=1;
  parameter Real ZZZZZ=1;
  parameter Real AAAAAA=1;
  parameter Real BBBBBB=1;
  parameter Real CCCCCC=1;
  parameter Real DDDDDD=1;
  parameter Real EEEEEE=1;
  parameter Real FFFFFF=1;
  parameter Real GGGGGG=1;
  parameter Real HHHHHH=1;
  parameter Real IIIIII=1;
  parameter Real JJJJJJ=1;
  parameter Real KKKKKK=1;
  parameter Real LLLLLL=1;
  parameter Real MMMMMM=1;
  parameter Real NNNNNN=1;
  parameter Real OOOOOO=1;
  parameter Real PPPPPP=1;
  parameter Real QQQQQQ=1;
  parameter Real RRRRRR=1;
  parameter Real SSSSSS=1;
  parameter Real TTTTTT=1;
  parameter Real UUUUUU=1;
  parameter Real VVVVVV=1;
  parameter Real WWWWWW=1;
  parameter Real XXXXXX=1;
  parameter Real YYYYYY=1;
  parameter Real ZZZZZZ=1;
  parameter Real AAAAAAA=1;
  parameter Real BBBBBBB=1;
  parameter Real CCCCCCC=1;
  parameter Real DDDDDDD=1;
  parameter Real EEEEEEE=1;
  parameter Real FFFFFFF=1;
  parameter Real GGGGGGG=1;
  parameter Real HHHHHHH=1;
  parameter Real IIIIIII=1;
  parameter Real JJJJJJJ=1;
  parameter Real KKKKKKK=1;
  parameter Real LLLLLLL=1;
  parameter Real MMMMMMM=1;
  parameter Real NNNNNNN=1;
  parameter Real OOOOOOO=1;
  parameter Real PPPPPPP=1;
  parameter Real QQQQQQQ=1;
  parameter Real RRRRRRR=1;
  parameter Real SSSSSSS=1;
  parameter Real TTTTTTT=1;
  parameter Real UUUUUUU=1;
  parameter Real VVVVVVV=1;
  parameter Real WWWWWWW=1;
  parameter Real XXXXXXX=1;
  parameter Real YYYYYYY=1;
  parameter Real ZZZZZZZ=1;
  parameter Real AAAAAAAAA=1;
  parameter Real BBBBBBBB=1;
  parameter Real CCCCCCCC=1;
  parameter Real DDDDDDDD=1;
  parameter Real EEEEEEEE=1;
  parameter Real FFFFFFFFF=1;
  parameter Real GGGGGGGG=1;
  parameter Real HHHHHHHH=1;
  parameter Real IIIIIIII=1;
  parameter Real JJJJJJJJ=1;
  parameter Real KKKKKKKK=1;
  parameter Real LLLLLLLL=1;
  parameter Real MMMMMMMM=1;
  parameter Real NNNNNNNN=1;
  parameter Real OOOOOOOO=1;
  parameter Real PPPPPPPP=1;
  parameter Real QQQQQQQQ=1;
  parameter Real RRRRRRRR=1;
  parameter Real SSSSSSSS=1;
  parameter Real TTTTTTTT=1;
  parameter Real UUUUUUUU=1;
  parameter Real VVVVVVVV=1;
  parameter Real WWWWWWWW=1;
  parameter Real XXXXXXXXX=1;
  parameter Real YYYYYYYY=1;
  parameter Real ZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBB=1;
  parameter Real CCCCCCCCC=1;
  parameter Real DDDDDDDDD=1;
  parameter Real EEEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGG=1;
  parameter Real HHHHHHHHH=1;
  parameter Real IIIIIIIII=1;
  parameter Real JJJJJJJJJ=1;
  parameter Real KKKKKKKKK=1;
  parameter Real LLLLLLLLL=1;
  parameter Real MMMMMMMMM=1;
  parameter Real NNNNNNNNN=1;
  parameter Real OOOOOOOOO=1;
  parameter Real PPPPPPPPP=1;
  parameter Real QQQQQQQQQ=1;
  parameter Real RRRRRRRRR=1;
  parameter Real SSSSSSSSS=1;
  parameter Real TTTTTTTTT=1;
  parameter Real UUUUUUUUU=1;
  parameter Real VVVVVVVVV=1;
  parameter Real WWWWWWWWW=1;
  parameter Real XXXXXXXXXX=1;
  parameter Real YYYYYYYYY=1;
  parameter Real ZZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBBB=1;
  parameter Real CCCCCCCCCC=1;
  parameter Real DDDDDDDDDD=1;
  parameter Real EEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGGG=1;
  parameter Real HHHHHHHHHH=1;
  parameter Real IIIIIIIIII=1;
  parameter Real JJJJJJJJJJ=1;
  parameter Real KKKKKKKKKK=1;
  parameter Real LLLLLLLLLL=1;
  parameter Real MMMMMMMMMM=1;
  parameter Real NNNNNNNNNN=1;
  parameter Real OOOOOOOOOO=1;
  parameter Real PPPPPPPPPP=1;
  parameter Real QQQQQQQQQQ=1;
  parameter Real RRRRRRRRRR=1;
  parameter Real SSSSSSSSSS=1;
  parameter Real TTTTTTTTTT=1;
  parameter Real UUUUUUUUUU=1;
  parameter Real VVVVVVVVVV=1;
  parameter Real WWWWWWWWWW=1;
  parameter Real XXXXXXXXXX=1;
  parameter Real YYYYYYYYYY=1;
  parameter Real ZZZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBBB=1;
  parameter Real CCCCCCCCCC=1;
  parameter Real DDDDDDDDDD=1;
  parameter Real EEEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGGG=1;
  parameter Real HHHHHHHHHH=1;
  parameter Real IIIIIIIIII=1;
  parameter Real JJJJJJJJJJ=1;
  parameter Real KKKKKKKKKK=1;
  parameter Real LLLLLLLLLL=1;
  parameter Real MMMMMMMMMM=1;
  parameter Real NNNNNNNNNN=1;
  parameter Real OOOOOOOOOO=1;
  parameter Real PPPPPPPPPP=1;
  parameter Real QQQQQQQQQQ=1;
  parameter Real RRRRRRRRRR=1;
  parameter Real SSSSSSSSSS=1;
  parameter Real TTTTTTTTTT=1;
  parameter Real UUUUUUUUUU=1;
  parameter Real VVVVVVVVVV=1;
  parameter Real WWWWWWWWWW=1;
  parameter Real XXXXXXXXXX=1;
  parameter Real YYYYYYYYYY=1;
  parameter Real ZZZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBBB=1;
  parameter Real CCCCCCCCCC=1;
  parameter Real DDDDDDDDDD=1;
  parameter Real EEEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGGG=1;
  parameter Real HHHHHHHHHH=1;
  parameter Real IIIIIIIIII=1;
  parameter Real JJJJJJJJJJ=1;
  parameter Real KKKKKKKKKK=1;
  parameter Real LLLLLLLLLL=1;
  parameter Real MMMMMMMMMM=1;
  parameter Real NNNNNNNNNN=1;
  parameter Real OOOOOOOOOO=1;
  parameter Real PPPPPPPPPP=1;
  parameter Real QQQQQQQQQQ=1;
  parameter Real RRRRRRRRRR=1;
  parameter Real SSSSSSSSSS=1;
  parameter Real TTTTTTTTTT=1;
  parameter Real UUUUUUUUUU=1;
  parameter Real VVVVVVVVVV=1;
  parameter Real WWWWWWWWWW=1;
  parameter Real XXXXXXXXXX=1;
  parameter Real YYYYYYYYYY=1;
  parameter Real ZZZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBBB=1;
  parameter Real CCCCCCCCCC=1;
  parameter Real DDDDDDDDDD=1;
  parameter Real EEEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGGG=1;
  parameter Real HHHHHHHHHH=1;
  parameter Real IIIIIIIIII=1;
  parameter Real JJJJJJJJJJ=1;
  parameter Real KKKKKKKKKK=1;
  parameter Real LLLLLLLLLL=1;
  parameter Real MMMMMMMMMM=1;
  parameter Real NNNNNNNNNN=1;
  parameter Real OOOOOOOOOO=1;
  parameter Real PPPPPPPPPP=1;
  parameter Real QQQQQQQQQQ=1;
  parameter Real RRRRRRRRRR=1;
  parameter Real SSSSSSSSSS=1;
  parameter Real TTTTTTTTTT=1;
  parameter Real UUUUUUUUUU=1;
  parameter Real VVVVVVVVVV=1;
  parameter Real WWWWWWWWWW=1;
  parameter Real XXXXXXXXXX=1;
  parameter Real YYYYYYYYYY=1;
  parameter Real ZZZZZZZZZZ=1;
  parameter Real AAAAAAAAAA=1;
  parameter Real BBBBBBBBBB=1;
  parameter Real CCCCCCCCCC=1;
  parameter Real DDDDDDDDDD=1;
  parameter Real EEEEEEEEEE=1;
  parameter Real FFFFFFFFFF=1;
  parameter Real GGGGGGGGGG=1;
  parameter Real HHHHHHHHHH=1;
  parameter Real IIIIIIIIII=1;
  parameter Real JJJJJJJJJJ=
