"time","tr"
0.234,-0.2300000000000001
0.236,-0.2300000000000001
0.238,-0.2300000000000001
0.24,-0.2300000000000001
0.24,-0.2400000000000001
0.242,-0.2400000000000001
0.244,-0.2400000000000001
0.246,-0.2400000000000001
0.248,-0.2400000000000001
0.25,-0.2400000000000001
0.25,-0.2500000000000001
0.252,-0.2500000000000001
0.254,-0.2500000000000001
0.256,-0.2500000000000001
0.258,-0.2500000000000001
0.26,-0.2500000000000001
0.26,-0.2600000000000001
0.262,-0.2600000000000001
0.264,-0.2600000000000001
0.266,-0.2600000000000001
0.268,-0.2600000000000001
0.27,-0.2600000000000001
0.27,-0.2700000000000001
0.272,-0.2700000000000001
0.274,-0.2700000000000001
0.276,-0.2700000000000001
0.278,-0.2700000000000001
0.28,-0.2700000000000001
0.28,-0.2800000000000001
0.282,-0.2800000000000001
0.284,-0.2800000000000001
0.286,-0.2800000000000001
0.288,-0.2800000000000001
0.29,-0.2800000000000001
0.29,-0.2900000000000001
0.292,-0.2900000000000001
0.294,-0.2900000000000001
0.296,-0.2900000000000001
0.298,-0.2900000000000001
0.3,-0.2900000000000001
0.3,-0.3000000000000001
0.302,-0.3000000000000001
0.304,-0.3000000000000001
0.306,-0.3000000000000001
0.308,-0.3000000000000001
0.31,-0.3000000000000001
0.31,-0.3100000000000001
0.312,-0.3100000000000001
0.314,-0.3100000000000001
0.316,-0.3100000000000001
0.318,-0.3100000000000001
0.32,-0.3100000000000001
0.32,-0.3200000000000001
0.322,-0.3200000000000001
0.324,-0.3200000000000001
0.326,-0.3200000000000001
0.328,-0.3200000000000001
0.33,-0.3200000000000001
0.33,-0.3300000000000001
0.332,-0.3300000000000001
0.334,-0.3300000000000001
0.336,-0.3300000000000001
0.338,-0.3300000000000001
0.34,-0.3300000000000001
0.34,-0.3400000000000001
0.342,-0.3400000000000001
0.344,-0.3400000000000001
0.346,-0.3400000000000001
0.348,-0.3400000000000001
0.35,-0.3400000000000001
0.35,-0.3500000000000001
0.352,-0.3500000000000001
0.354,-0.3500000000000001
0.356,-0.3500000000000001
0.358,-0.3500000000000001
0.36,-0.3500000000000001
0.36,-0.3600000000000002
0.362,-0.3600000000000002
0.364,-0.3600000000000002
0.366,-0.3600000000000002
0.368,-0.3600000000000002
0.37,-0.3600000000000002
0.37,-0.3700000000000002
0.372,-0.3700000000000002
0.374,-0.3700000000000002
0.376,-0.3700000000000002
0.378,-0.3700000000000002
0.38,-0.3700000000000002
0.38,-0.3800000000000002
0.382,-0.3800000000000002
0.384,-0.3800000000000002
0.386,-0.3800000000000002
0.388,-0.3800000000000002
0.39,-0.3800000000000002
0.39,-0.3900000000000002
0.392,-0.3900000000000002
0.394,-0.3900000000000002
0.396,-0.3900000000000002
0.398,-0.3900000000000002
0.4,-0.3900000000000002
0.4,-0.4000000000000002
0.402,-0.4000000000000002
0.404,-0.4000000000000002
0.406,-0.4000000000000002
0.408,-0.4000000000000002
0.41,-0.4000000000000002
0.41,-0.4100000000000002
0.412,-0.4100000000000002
0.414,-0.4100000000000002
0.416,-0.4100000000000002
0.418,-0.4100000000000002
0.42,-0.4100000000000002
0.42,-0.4200000000000002
0.422,-0.4200000000000002
0.424,-0.4200000000000002
0.426,-0.4200000000000002
0.428,-0.4200000000000002
0.43,-0.4200000000000002
0.43,-0.4300000000000002
0.432,-0.4300000000000002
0.434,-0.4300000000000002
0.436,-0.4300000000000002
0.438,-0.4300000000000002
0.44,-0.4300000000000002
0.44,-0.4400000000000002
0.442,-0.4400000000000002
0.444,-0.4400000000000002
0.446,-0.4400000000000002
0.448,-0.4400000000000002
0.45,-0.4400000000000002
0.45,-0.4500000000000002
0.452,-0.4500000000000002
0.454,-0.4500000000000002
0.456,-0.4500000000000002
0.458,-0.4500000000000002
0.46,-0.4500000000000002
0.46,-0.4600000000000002
0.462,-0.4600000000000002
0.464,-0.4600000000000002
0.466,-0.4600000000000002
0.468,-0.4600000000000002
0.47,-0.4600000000000002
0.47,-0.4700000000000003
0.472,-0.4700000000000003
0.474,-0.4700000000000003
0.476,-0.4700000000000003
0.478,-0.4700000000000003
0.48,-0.4700000000000003
0.48,-0.4800000000000003
0.482,-0.4800000000000003
0.484,-0.4800000000000003
0.486,-0.4800000000000003
0.488,-0.4800000000000003
0.49,-0.4800000000000003
0.49,-0.4900000000000003
0.492,-0.4900000000000003
0.494,-0.4900000000000003
0.496,-0.4900000000000003
0.498,-0.4900000000000003
0.5,-0.4900000000000003
0.5,-0.5000000000000002
0.502,-0.5000000000000002
0.504,-0.5000000000000002
0.506,-0.5000000000000002
0.508,-0.5000000000000002
0.51,-0.5000000000000002
0.51,-0.5100000000000002
0.512,-0.5100000000000002
0.514,-0.5100000000000002
0.516,-0.5100000000000002
0.518,-0.5100000000000002
0.52,-0.5100000000000002
0.52,-0.5200000000000002
0.522,-0.5200000000000002
0.524,-0.5200000000000002
0.526,-0.5200000000000002
0.528,-0.5200000000000002
0.53,-0.5200000000000002
0.53,-0.5300000000000002
0.532,-0.5300000000000002
0.534,-0.5300000000000002
0.536,-0.5300000000000002
0.538,-0.5300000000000002
0.54,-0.5300000000000002
0.54,-0.5400000000000003
0.542,-0.5400000000000003
0.544,-0.5400000000000003
0.546,-0.5400000000000003
0.548,-0.5400000000000003
0.55,-0.5400000000000003
0.55,-0.5500000000000003
0.552,-0.5500000000000003
0.554,-0.5500000000000003
0.556,-0.5500000000000003
0.558,-0.5500000000000003
0.56,-0.5500000000000003
0.56,-0.5600000000000003
0.562,-0.5600000000000003
0.564,-0.5600000000000003
0.566,-0.5600000000000003
0.568,-0.5600000000000003
0.57,-0.5600000000000003
0.57,-0.5700000000000003
0.572,-0.5700000000000003
0.574,-0.5700000000000003
0.576,-0.5700000000000003
0.578,-0.5700000000000003
0.58,-0.5700000000000003
0.58,-0.5800000000000003
0.582,-0.5800000000000003
0.584,-0.5800000000000003
0.586,-0.5800000000000003
0.588,-0.5800000000000003
0.59,-0.5800000000000003
0.59,-0.5900000000000003
0.592,-0.5900000000000003
0.594,-0.5900000000000003
0.596,-0.5900000000000003
0.598,-0.5900000000000003
0.6,-0.5900000000000003
0.6,-0.6000000000000003
0.602,-0.6000000000000003
0.604,-0.6000000000000003
0.606,-0.6000000000000003
0.608,-0.6000000000000003
0.61,-0.6000000000000003
0.61,-0.6100000000000003
0.612,-0.6100000000000003
0.614,-0.6100000000000003
0.616,-0.6100000000000003
0.618,-0.6100000000000003
0.62,-0.6100000000000003
0.62,-0.6200000000000003
0.622,-0.6200000000000003
0.624,-0.6200000000000003
0.626,-0.6200000000000003
0.628,-0.6200000000000003
0.63,-0.6200000000000003
0.63,-0.6300000000000003
0.632,-0.6300000000000003
0.634,-0.6300000000000003
0.636,-0.6300000000000003
0.638,-0.6300000000000003
0.64,-0.6300000000000003
0.64,-0.6400000000000003
0.642,-0.6400000000000003
0.644,-0.6400000000000003
0.646,-0.6400000000000003
0.648,-0.6400000000000003
0.65,-0.6400000000000003
0.65,-0.6500000000000004
0.652,-0.6500000000000004
0.654,-0.6500000000000004
0.656,-0.6500000000000004
0.658,-0.6500000000000004
0.66,-0.6500000000000004
0.66,-0.6600000000000004
0.662,-0.6600000000000004
0.664,-0.6600000000000004
0.666,-0.6600000000000004
0.668,-0.6600000000000004
0.67,-0.6600000000000004
0.67,-0.6700000000000004
0.672,-0.6700000000000004
0.674,-0.6700000000000004
0.676,-0.6700000000000004
0.678,-0.6700000000000004
0.68,-0.6700000000000004
0.68,-0.6800000000000004
0.682,-0.6800000000000004
0.684,-0.6800000000000004
0.686,-0.6800000000000004
0.688,-0.6800000000000004
0.69,-0.6800000000000004
0.69,-0.6900000000000004
0.692,-0.6900000000000004
0.694,-0.6900000000000004
0.696,-0.6900000000000004
0.698,-0.6900000000000004
0.7,-0.6900000000000004
0.7,-0.7000000000000004
0.702,-0.7000000000000004
0.704,-0.7000000000000004
0.706,-0.7000000000000004
0.708,-0.7000000000000004
0.71,-0.7000000000000004
0.71,-0.7100000000000004
0.712,-0.7100000000000004
0.714,-0.7100000000000004
0.716,-0.7100000000000004
0.718,-0.7100000000000004
0.72,-0.7100000000000004
0.72,-0.7200000000000004
0.722,-0.7200000000000004
0.724,-0.7200000000000004
0.726,-0.7200000000000004
0.728,-0.7200000000000004
0.73,-0.7200000000000004
0.73,-0.7300000000000004
0.732,-0.7300000000000004
0.734,-0.7300000000000004
0.736,-0.7300000000000004
0.738,-0.7300000000000004
0.74,-0.7300000000000004
0.74,-0.7400000000000004
0.742,-0.7400000000000004
0.744,-0.7400000000000004
0.746,-0.7400000000000004
0.748,-0.7400000000000004
0.75,-0.7400000000000004
0.75,-0.7500000000000004
0.752,-0.7500000000000004
0.754,-0.7500000000000004
0.756,-0.7500000000000004
0.758,-0.7500000000000004
0.76,-0.7500000000000004
0.76,-0.7600000000000005
0.762,-0.7600000000000005
0.764,-0.7600000000000005
0.766,-0.7600000000000005
0.768,-0.7600000000000005
0.77,-0.7600000000000005
0.77,-0.7700000000000005
0.772,-0.7700000000000005
0.774,-0.7700000000000005
0.776,-0.7700000000000005
0.778,-0.7700000000000005
0.78,-0.7700000000000005
0.78,-0.7800000000000005
0.782,-0.7800000000000005
0.784,-0.7800000000000005
0.786,-0.7800000000000005
0.788,-0.7800000000000005
0.79,-0.7800000000000005
0.79,-0.7900000000000005
0.792,-0.7900000000000005
0.794,-0.7900000000000005
0.796,-0.7900000000000005
0.798,-0.7900000000000005
0.8,-0.7900000000000005
0.8,-0.8000000000000005
0.802,-0.8000000000000005
0.804,-0.8000000000000005
0.806,-0.8000000000000005
0.808,-0.8000000000000005
0.81,-0.8000000000000005
0.81,-0.8100000000000005
0.812,-0.8100000000000005
0.814,-0.8100000000000005
0.816,-0.8100000000000005
0.818,-0.8100000000000005
0.82,-0.8100000000000005
0.82,-0.8200000000000005
0.822,-0.8200000000000005
0.824,-0.8200000000000005
0.826,-0.8200000000000005
0.828,-0.8200000000000005
0.83,-0.8200000000000005
0.83,-0.8300000000000005
0.832,-0.8300000000000005
0.834,-0.8300000000000005
0.836,-0.8300000000000005
0.838,-0.8300000000000005
0.84,-0.8300000000000005
0.84,-0.8400000000000005
0.842,-0.8400000000000005
0.844,-0.8400000000000005
0.846,-0.8400000000000005
0.848,-0.8400000000000005
0.85,-0.8400000000000005
0.85,-0.8500000000000005
0.852,-0.8500000000000005
0.854,-0.8500000000000005
0.856,-0.8500000000000005
0.858,-0.8500000000000005
0.86,-0.8500000000000005
0.86,-0.8600000000000005
0.862,-0.8600000000000005
0.864,-0.8600000000000005
0.866,-0.8600000000000005
0.868,-0.8600000000000005
0.87,-0.8600000000000005
0.87,-0.8700000000000006
0.872,-0.8700000000000006
0.874,-0.8700000000000006
0.876,-0.8700000000000006
0.878,-0.8700000000000006
0.88,-0.8700000000000006
0.88,-0.8800000000000006
0.882,-0.8800000000000006
0.884,-0.8800000000000006
0.886,-0.8800000000000006
0.888,-0.8800000000000006
0.89,-0.8800000000000006
0.89,-0.8900000000000006
0.892,-0.8900000000000006
0.894,-0.8900000000000006
0.896,-0.8900000000000006
0.898,-0.8900000000000006
0.9,-0.8900000000000006
0.9,-0.9000000000000006
0.902,-0.9000000000000006
0.904,-0.9000000000000006
0.906,-0.9000000000000006
0.908,-0.9000000000000006
0.91,-0.9000000000000006
0.91,-0.9100000000000006
0.912,-0.9100000000000006
0.914,-0.9100000000000006
0.916,-0.9100000000000006
0.918,-0.9100000000000006
0.92,-0.9100000000000006
0.92,-0.9200000000000006
0.922,-0.9200000000000006
0.924,-0.9200000000000006
0.926,-0.9200000000000006
0.928,-0.9200000000000006
0.93,-0.9200000000000006
0.93,-0.9300000000000006
0.932,-0.9300000000000006
0.934,-0.9300000000000006
0.936,-0.9300000000000006
0.938,-0.9300000000000006
0.94,-0.9300000000000006
0.94,-0.9400000000000006
0.942,-0.9400000000000006
0.944,-0.9400000000000006
0.946,-0.9400000000000006
0.948,-0.9400000000000006
0.95,-0.9400000000000006
0.95,-0.9500000000000006
0.952,-0.9500000000000006
0.954,-0.9500000000000006
0.956,-0.9500000000000006
0.958,-0.9500000000000006
0.96,-0.9500000000000006
0.96,-0.9600000000000006
0.962,-0.9600000000000006
0.964,-0.9600000000000006
0.966,-0.9600000000000006
0.968,-0.9600000000000006
0.97,-0.9600000000000006
0.97,-0.9700000000000006
0.972,-0.9700000000000006
0.974,-0.9700000000000006
0.976,-0.9700000000000006
0.978,-0.9700000000000006
0.98,-0.9700000000000006
0.98,-0.9800000000000006
0.982,-0.9800000000000006
0.984,-0.9800000000000006
0.986,-0.9800000000000006
0.988,-0.9800000000000006
0.99,-0.9800000000000006
0.99,-0.9900000000000007
0.992,-0.9900000000000007
0.994,-0.9900000000000007
0.996,-0.9900000000000007
0.998,-0.9900000000000007
1,-0.9900000000000007
1,-1.000000000000001
1,-1.000000000000001
