"time","control","der(waterLevel)","error","waterLevel"
0.05,-0.1902453985260977,-0.1902453985260977,-0.1902453985260977,0.1902453985260977
0.052,-0.1898652395801841,-0.1898652395801841,-0.1898652395801841,0.1898652395801841
0.054,-0.1894858420924004,-0.1894858420924004,-0.1894858420924004,0.1894858420924004
0.056,-0.1891072060627463,-0.1891072060627463,-0.1891072060627463,0.1891072060627463
0.058,-0.1887293314912222,-0.1887293314912222,-0.1887293314912222,0.1887293314912222
0.06,-0.1883522183778278,-0.1883522183778278,-0.1883522183778278,0.1883522183778278
0.062,-0.1879758667225633,-0.1879758667225633,-0.1879758667225633,0.1879758667225633
0.064,-0.1876002765254285,-0.1876002765254285,-0.1876002765254285,0.1876002765254285
0.066,-0.1872254358474087,-0.1872254358474087,-0.1872254358474087,0.1872254358474087
0.068,-0.1868513098270857,-0.1868513098270857,-0.1868513098270857,0.1868513098270857
0.07,-0.1864779331009976,-0.1864779331009976,-0.1864779331009976,0.1864779331009976
0.072,-0.1861053056691446,-0.1861053056691446,-0.1861053056691446,0.1861053056691446
0.074,-0.1857334275315265,-0.1857334275315265,-0.1857334275315265,0.1857334275315265
0.076,-0.1853622986881435,-0.1853622986881435,-0.1853622986881435,0.1853622986881435
0.078,-0.1849919191389955,-0.1849919191389955,-0.1849919191389955,0.1849919191389955
0.08,-0.1846222888840826,-0.1846222888840826,-0.1846222888840826,0.1846222888840826
0.082,-0.1842534066801504,-0.1842534066801504,-0.1842534066801504,0.1842534066801504
0.084,-0.1838852387009943,-0.1838852387009943,-0.1838852387009943,0.1838852387009943
0.086,-0.1835178075936396,-0.1835178075936396,-0.1835178075936396,0.1835178075936396
0.088,-0.1831511120126477,-0.1831511120126477,-0.1831511120126477,0.1831511120126477
0.09,-0.1827851506125802,-0.1827851506125802,-0.1827851506125802,0.1827851506125802
0.092,-0.1824199220479985,-0.1824199220479985,-0.1824199220479985,0.1824199220479985
0.094,-0.1820554249734641,-0.1820554249734641,-0.1820554249734641,0.1820554249734641
0.096,-0.1816916580435385,-0.1816916580435385,-0.1816916580435385,0.1816916580435385
0.098,-0.1813286199127833,-0.1813286199127833,-0.1813286199127833,0.1813286199127833
0.1,-0.1809663092357599,-0.1809663092357599,-0.1809663092357599,0.1809663092357599
0.102,-0.1806047246670298,-0.1806047246670298,-0.1806047246670298,0.1806047246670298
0.104,-0.1802438648611546,-0.1802438648611546,-0.1802438648611546,0.1802438648611546
0.106,-0.1798837284726957,-0.1798837284726957,-0.1798837284726957,0.1798837284726957
0.108,-0.1795243141562145,-0.1795243141562145,-0.1795243141562145,0.1795243141562145
0.11,-0.1791656205662727,-0.1791656205662727,-0.1791656205662727,0.1791656205662727
0.112,-0.1788076463574317,-0.1788076463574317,-0.1788076463574317,0.1788076463574317
0.114,-0.1784503901842531,-0.1784503901842531,-0.1784503901842531,0.1784503901842531
0.116,-0.17809384537641,-0.17809384537641,-0.17809384537641,0.17809384537641
0.118,-0.177738011781842,-0.177738011781842,-0.177738011781842,0.177738011781842
0.12,-0.1773828904551426,-0.1773828904551426,-0.1773828904551426,0.1773828904551426
0.122,-0.1770284799377809,-0.1770284799377809,-0.1770284799377809,0.1770284799377809
0.124,-0.1766747787712265,-0.1766747787712265,-0.1766747787712265,0.1766747787712265
0.126,-0.1763217854969485,-0.1763217854969485,-0.1763217854969485,0.1763217854969485
0.128,-0.1759694986564166,-0.1759694986564166,-0.1759694986564166,0.1759694986564166
0.13,-0.1756179167910999,-0.1756179167910999,-0.1756179167910999,0.1756179167910999
0.132,-0.1752670384424678,-0.1752670384424678,-0.1752670384424678,0.1752670384424678
0.134,-0.1749168621519898,-0.1749168621519898,-0.1749168621519898,0.1749168621519898
0.136,-0.174567386461135,-0.174567386461135,-0.174567386461135,0.174567386461135
0.138,-0.174218609911373,-0.174218609911373,-0.174218609911373,0.174218609911373
0.14,-0.1738705310441731,-0.1738705310441731,-0.1738705310441731,0.1738705310441731
0.142,-0.1735231484010046,-0.1735231484010046,-0.1735231484010046,0.1735231484010046
0.144,-0.1731764605233369,-0.1731764605233369,-0.1731764605233369,0.1731764605233369
0.146,-0.1728304659526393,-0.1728304659526393,-0.1728304659526393,0.1728304659526393
0.148,-0.1724851629028857,-0.1724851629028857,-0.1724851629028857,0.1724851629028857
0.15,-0.1721405492302451,-0.1721405492302451,-0.1721405492302451,0.1721405492302451
0.152,-0.1717966242580631,-0.1717966242580631,-0.1717966242580631,0.1717966242580631
0.154,-0.1714533865147308,-0.1714533865147308,-0.1714533865147308,0.1714533865147308
0.156,-0.1711108345286395,-0.1711108345286395,-0.1711108345286395,0.1711108345286395
0.158,-0.1707689668281804,-0.1707689668281804,-0.1707689668281804,0.1707689668281804
0.16,-0.1704277819417449,-0.1704277819417449,-0.1704277819417449,0.1704277819417449
0.162,-0.1700872783977243,-0.1700872783977243,-0.1700872783977243,0.1700872783977243
0.164,-0.1697474547245097,-0.1697474547245097,-0.1697474547245097,0.1697474547245097
0.166,-0.1694083094504925,-0.1694083094504925,-0.1694083094504925,0.1694083094504925
0.168,-0.169069841104064,-0.169069841104064,-0.169069841104064,0.169069841104064
0.17,-0.1687320482136153,-0.1687320482136153,-0.1687320482136153,0.1687320482136153
0.172,-0.1683949293075379,-0.1683949293075379,-0.1683949293075379,0.1683949293075379
0.174,-0.1680584829142229,-0.1680584829142229,-0.1680584829142229,0.1680584829142229
0.176,-0.1677227075620617,-0.1677227075620617,-0.1677227075620617,0.1677227075620617
0.178,-0.1673876017794454,-0.1673876017794454,-0.1673876017794454,0.1673876017794454
0.18,-0.1670531640947655,-0.1670531640947655,-0.1670531640947655,0.1670531640947655
0.182,-0.1667194020631111,-0.1667194020631111,-0.1667194020631111,0.1667194020631111
0.184,-0.1663863080265469,-0.1663863080265469,-0.1663863080265469,0.1663863080265469
0.186,-0.1660538795879883,-0.1660538795879883,-0.1660538795879883,0.1660538795879883
0.188,-0.1657221153806202,-0.1657221153806202,-0.1657221153806202,0.1657221153806202
0.19,-0.1653910140376278,-0.1653910140376278,-0.1653910140376278,0.1653910140376278
0.192,-0.1650605741921959,-0.1650605741921959,-0.1650605741921959,0.1650605741921959
0.194,-0.1647307944775096,-0.1647307944775096,-0.1647307944775096,0.1647307944775096
0.196,-0.1644016735267538,-0.1644016735267538,-0.1644016735267538,0.1644016735267538
0.198,-0.1640732099731135,-0.1640732099731135,-0.1640732099731135,0.1640732099731135
0.2,-0.1637454024497738,-0.1637454024497738,-0.1637454024497738,0.1637454024497738
0.202,-0.1634182495899195,-0.1634182495899195,-0.1634182495899195,0.1634182495899195
0.204,-0.1630917500267358,-0.1630917500267358,-0.1630917500267358,0.1630917500267358
0.206,-0.1627659023934074,-0.1627659023934074,-0.1627659023934074,0.1627659023934074
0.208,-0.1624407053231196,-0.1624407053231196,-0.1624407053231196,0.1624407053231196
0.21,-0.1621161574490571,-0.1621161574490571,-0.1621161574490571,0.1621161574490571
0.212,-0.1617922574044051,-0.1617922574044051,-0.1617922574044051,0.1617922574044051
0.214,-0.1614690038223485,-0.1614690038223485,-0.1614690038223485,0.1614690038223485
0.216,-0.1611463953360723,-0.1611463953360723,-0.1611463953360723,0.1611463953360723
0.218,-0.1608244305787615,-0.1608244305787615,-0.1608244305787615,0.1608244305787615
0.22,-0.160503108183601,-0.160503108183601,-0.160503108183601,0.160503108183601
0.222,-0.1601824267837759,-0.1601824267837759,-0.1601824267837759,0.1601824267837759
0.224,-0.1598623860805997,-0.1598623860805997,-0.1598623860805997,0.1598623860805997
0.226,-0.1595429933495091,-0.1595429933495091,-0.1595429933495091,0.1595429933495091
0.228,-0.1592242390195898,-0.1592242390195898,-0.1592242390195898,0.1592242390195898
0.23,-0.1589061217954496,-0.1589061217954496,-0.1589061217954496,0.1589061217954496
0.232,-0.1585886403816958,-0.1585886403816958,-0.1585886403816958,0.1585886403816958
0.234,-0.1582717934829362,-0.1582717934829362,-0.1582717934829362,0.1582717934829362
0.236,-0.1579555798037783,-0.1579555798037783,-0.1579555798037783,0.1579555798037783
0.238,-0.1576399980488296,-0.1576399980488296,-0.1576399980488296,0.1576399980488296
0.24,-0.1573250469226978,-0.1573250469226978,-0.1573250469226978,0.1573250469226978
0.242,-0.1570107251299903,-0.1570107251299903,-0.1570107251299903,0.1570107251299903
0.244,-0.1566970313753148,-0.1566970313753148,-0.1566970313753148,0.1566970313753148
0.246,-0.1563839643632789,-0.1563839643632789,-0.1563839643632789,0.1563839643632789
0.248,-0.1560715227984901,-0.1560715227984901,-0.1560715227984901,0.1560715227984901
0.25,-0.1557597053855559,-0.1557597053855559,-0.1557597053855559,0.1557597053855559
0.252,-0.155448510829084,-0.155448510829084,-0.155448510829084,0.155448510829084
0.254,-0.155137937833682,-0.155137937833682,-0.155137937833682,0.155137937833682
0.256,-0.1548279851039573,-0.1548279851039573,-0.1548279851039573,0.1548279851039573
0.258,-0.1545186513445176,-0.1545186513445176,-0.1545186513445176,0.1545186513445176
0.26,-0.1542099352599705,-0.1542099352599705,-0.1542099352599705,0.1542099352599705
0.262,-0.1539018355549234,-0.1539018355549234,-0.1539018355549234,0.1539018355549234
0.264,-0.153594350933984,-0.153594350933984,-0.153594350933984,0.153594350933984
0.266,-0.1532874801017599,-0.1532874801017599,-0.1532874801017599,0.1532874801017599
0.268,-0.1529812236088203,-0.1529812236088203,-0.1529812236088203,0.1529812236088203
0.27,-0.1526755826633666,-0.1526755826633666,-0.1526755826633666,0.1526755826633666
0.272,-0.1523705524315254,-0.1523705524315254,-0.1523705524315254,0.1523705524315254
0.274,-0.152066131653005,-0.152066131653005,-0.152066131653005,0.152066131653005
0.276,-0.1517623190675134,-0.1517623190675134,-0.1517623190675134,0.1517623190675134
0.278,-0.151459113414759,-0.151459113414759,-0.151459113414759,0.151459113414759
0.28,-0.1511565134344501,-0.1511565134344501,-0.1511565134344501,0.1511565134344501
0.282,-0.1508545178662946,-0.1508545178662946,-0.1508545178662946,0.1508545178662946
0.284,-0.1505531254500011,-0.1505531254500011,-0.1505531254500011,0.1505531254500011
0.286,-0.1502523349252776,-0.1502523349252776,-0.1502523349252776,0.1502523349252776
0.288,-0.1499521450318323,-0.1499521450318323,-0.1499521450318323,0.1499521450318323
0.29,-0.1496525545093736,-0.1496525545093736,-0.1496525545093736,0.1496525545093736
0.292,-0.1493535620976096,-0.1493535620976096,-0.1493535620976096,0.1493535620976096
0.294,-0.1490551665362485,-0.1490551665362485,-0.1490551665362485,0.1490551665362485
0.296,-0.1487573665649985,-0.1487573665649985,-0.1487573665649985,0.1487573665649985
0.298,-0.148460160923568,-0.148460160923568,-0.148460160923568,0.148460160923568
0.3,-0.148163548351665,-0.148163548351665,-0.148163548351665,0.148163548351665
0.302,-0.1478675275889979,-0.1478675275889979,-0.1478675275889979,0.1478675275889979
0.304,-0.1475720973752749,-0.1475720973752749,-0.1475720973752749,0.1475720973752749
0.306,-0.1472772564502041,-0.1472772564502041,-0.1472772564502041,0.1472772564502041
0.308,-0.1469830035534938,-0.1469830035534938,-0.1469830035534938,0.1469830035534938
0.31,-0.1466893374248522,-0.1466893374248522,-0.1466893374248522,0.1466893374248522
0.312,-0.1463962625983425,-0.1463962625983425,-0.1463962625983425,0.1463962625983425
0.314,-0.1461037780167331,-0.1461037780167331,-0.1461037780167331,0.1461037780167331
0.316,-0.1458118779380392,-0.1458118779380392,-0.1458118779380392,0.1458118779380392
0.318,-0.145520561166951,-0.145520561166951,-0.145520561166951,0.145520561166951
0.32,-0.1452298265081589,-0.1452298265081589,-0.1452298265081589,0.1452298265081589
0.322,-0.1449396727663532,-0.1449396727663532,-0.1449396727663532,0.1449396727663532
0.324,-0.1446500987462243,-0.1446500987462243,-0.1446500987462243,0.1446500987462243
0.326,-0.1443611032524625,-0.1443611032524625,-0.1443611032524625,0.1443611032524625
0.328,-0.1440726850897581,-0.1440726850897581,-0.1440726850897581,0.1440726850897581
0.33,-0.1437848430628016,-0.1437848430628016,-0.1437848430628016,0.1437848430628016
0.332,-0.1434975759762832,-0.1434975759762832,-0.1434975759762832,0.1434975759762832
0.334,-0.1432108826348932,-0.1432108826348932,-0.1432108826348932,0.1432108826348932
0.336,-0.1429247618433222,-0.1429247618433222,-0.1429247618433222,0.1429247618433222
0.338,-0.1426392124062603,-0.1426392124062603,-0.1426392124062603,0.1426392124062603
0.34,-0.1423542331283979,-0.1423542331283979,-0.1423542331283979,0.1423542331283979
0.342,-0.1420698228144253,-0.1420698228144253,-0.1420698228144253,0.1420698228144253
0.344,-0.1417859802690331,-0.1417859802690331,-0.1417859802690331,0.1417859802690331
0.346,-0.1415027042969114,-0.1415027042969114,-0.1415027042969114,0.1415027042969114
0.348,-0.1412199937027505,-0.1412199937027505,-0.1412199937027505,0.1412199937027505
0.35,-0.140937847291241,-0.140937847291241,-0.140937847291241,0.140937847291241
0.352,-0.140656263867073,-0.140656263867073,-0.140656263867073,0.140656263867073
0.354,-0.1403752422349369,-0.1403752422349369,-0.1403752422349369,0.1403752422349369
0.356,-0.1400947866740426,-0.1400947866740426,-0.1400947866740426,0.1400947866740426
0.358,-0.1398148930899831,-0.1398148930899831,-0.1398148930899831,0.1398148930899831
0.36,-0.1395355587284292,-0.1395355587284292,-0.1395355587284292,0.1395355587284292
0.362,-0.1392567824372427,-0.1392567824372427,-0.1392567824372427,0.1392567824372427
0.364,-0.1389785630642856,-0.1389785630642856,-0.1389785630642856,0.1389785630642856
0.366,-0.1387008994574198,-0.1387008994574198,-0.1387008994574198,0.1387008994574198
0.368,-0.1384237904645071,-0.1384237904645071,-0.1384237904645071,0.1384237904645071
0.37,-0.1381472349334097,-0.1381472349334097,-0.1381472349334097,0.1381472349334097
0.372,-0.1378712317119893,-0.1378712317119893,-0.1378712317119893,0.1378712317119893
0.374,-0.1375957796481078,-0.1375957796481078,-0.1375957796481078,0.1375957796481078
0.376,-0.1373208775896274,-0.1373208775896274,-0.1373208775896274,0.1373208775896274
0.378,-0.1370465243844097,-0.1370465243844097,-0.1370465243844097,0.1370465243844097
0.38,-0.1367727188803169,-0.1367727188803169,-0.1367727188803169,0.1367727188803169
0.382,-0.1364994599252108,-0.1364994599252108,-0.1364994599252108,0.1364994599252108
0.384,-0.1362267463669533,-0.1362267463669533,-0.1362267463669533,0.1362267463669533
0.386,-0.1359545770534063,-0.1359545770534063,-0.1359545770534063,0.1359545770534063
0.388,-0.1356829508324319,-0.1356829508324319,-0.1356829508324319,0.1356829508324319
0.39,-0.1354118665518919,-0.1354118665518919,-0.1354118665518919,0.1354118665518919
0.392,-0.1351413230596482,-0.1351413230596482,-0.1351413230596482,0.1351413230596482
0.394,-0.1348713192035628,-0.1348713192035628,-0.1348713192035628,0.1348713192035628
0.396,-0.1346018538314976,-0.1346018538314976,-0.1346018538314976,0.1346018538314976
0.398,-0.1343329257913146,-0.1343329257913146,-0.1343329257913146,0.1343329257913146
0.4,-0.1340645391374125,-0.1340645391374125,-0.1340645391374125,0.1340645391374125
0.402,-0.133796688498062,-0.133796688498062,-0.133796688498062,0.133796688498062
0.404,-0.1335293726858003,-0.1335293726858003,-0.1335293726858003,0.1335293726858003
0.406,-0.1332625906151748,-0.1332625906151748,-0.1332625906151748,0.1332625906151748
0.408,-0.1329963412026303,-0.1329963412026303,-0.1329963412026303,0.1329963412026303
0.41,-0.1327306233665084,-0.1327306233665084,-0.1327306233665084,0.1327306233665084
0.412,-0.1324654360270479,-0.1324654360270479,-0.1324654360270479,0.1324654360270479
0.414,-0.1322007781063846,-0.1322007781063846,-0.1322007781063846,0.1322007781063846
0.416,-0.1319366485285512,-0.1319366485285512,-0.1319366485285512,0.1319366485285512
0.418,-0.1316730462194777,-0.1316730462194777,-0.1316730462194777,0.1316730462194777
0.42,-0.131409970106991,-0.131409970106991,-0.131409970106991,0.131409970106991
0.422,-0.1311474191208149,-0.1311474191208149,-0.1311474191208149,0.1311474191208149
0.424,-0.1308853921925706,-0.1308853921925706,-0.1308853921925706,0.1308853921925706
0.426,-0.1306238882557761,-0.1306238882557761,-0.1306238882557761,0.1306238882557761
0.428,-0.1303629062458465,-0.1303629062458465,-0.1303629062458465,0.1303629062458465
0.43,-0.1301024451000939,-0.1301024451000939,-0.1301024451000939,0.1301024451000939
0.432,-0.1298425037577275,-0.1298425037577275,-0.1298425037577275,0.1298425037577275
0.434,-0.1295830811598536,-0.1295830811598536,-0.1295830811598536,0.1295830811598536
0.436,-0.1293241762494754,-0.1293241762494754,-0.1293241762494754,0.1293241762494754
0.438,-0.1290657879714932,-0.1290657879714932,-0.1290657879714932,0.1290657879714932
0.44,-0.1288079152727046,-0.1288079152727046,-0.1288079152727046,0.1288079152727046
0.442,-0.1285505576010708,-0.1285505576010708,-0.1285505576010708,0.1285505576010708
0.444,-0.1282937156939939,-0.1282937156939939,-0.1282937156939939,0.1282937156939939
0.446,-0.1280373866745187,-0.1280373866745187,-0.1280373866745187,0.1280373866745187
0.448,-0.1277815695300832,-0.1277815695300832,-0.1277815695300832,0.1277815695300832
0.45,-0.127526263250984,-0.127526263250984,-0.127526263250984,0.127526263250984
0.452,-0.1272714668303764,-0.1272714668303764,-0.1272714668303764,0.1272714668303764
0.454,-0.1270171792642743,-0.1270171792642743,-0.1270171792642743,0.1270171792642743
0.456,-0.1267633995515507,-0.1267633995515507,-0.1267633995515507,0.1267633995515507
0.458,-0.1265101266939367,-0.1265101266939367,-0.1265101266939367,0.1265101266939367
0.46,-0.1262573596960226,-0.1262573596960226,-0.1262573596960226,0.1262573596960226
0.462,-0.1260050975652571,-0.1260050975652571,-0.1260050975652571,0.1260050975652571
0.464,-0.1257533393119477,-0.1257533393119477,-0.1257533393119477,0.1257533393119477
0.466,-0.1255020839492607,-0.1255020839492607,-0.1255020839492607,0.1255020839492607
0.468,-0.1252513304932208,-0.1252513304932208,-0.1252513304932208,0.1252513304932208
0.47,-0.1250010779627116,-0.1250010779627116,-0.1250010779627116,0.1250010779627116
0.472,-0.1247513253794755,-0.1247513253794755,-0.1247513253794755,0.1247513253794755
0.474,-0.1245020717681134,-0.1245020717681134,-0.1245020717681134,0.1245020717681134
0.476,-0.124253316156085,-0.124253316156085,-0.124253316156085,0.124253316156085
0.478,-0.1240050575737086,-0.1240050575737086,-0.1240050575737086,0.1240050575737086
0.48,-0.1237572950541612,-0.1237572950541612,-0.1237572950541612,0.1237572950541612
0.482,-0.1235100276334788,-0.1235100276334788,-0.1235100276334788,0.1235100276334788
0.484,-0.1232632543505555,-0.1232632543505555,-0.1232632543505555,0.1232632543505555
0.486,-0.1230169742471448,-0.1230169742471448,-0.1230169742471448,0.1230169742471448
0.488,-0.1227711863678582,-0.1227711863678582,-0.1227711863678582,0.1227711863678582
0.49,-0.1225258897601664,-0.1225258897601664,-0.1225258897601664,0.1225258897601664
0.492,-0.1222810834743987,-0.1222810834743987,-0.1222810834743987,0.1222810834743987
0.494,-0.1220367665637429,-0.1220367665637429,-0.1220367665637429,0.1220367665637429
0.496,-0.1217929380842457,-0.1217929380842457,-0.1217929380842457,0.1217929380842457
0.498,-0.1215495970948124,-0.1215495970948124,-0.1215495970948124,0.1215495970948124
0.5,-0.1213067426572069,-0.1213067426572069,-0.1213067426572069,0.1213067426572069
0.502,-0.1210643738360521,-0.1210643738360521,-0.1210643738360521,0.1210643738360521
0.504,-0.1208224896988292,-0.1208224896988292,-0.1208224896988292,0.1208224896988292
0.506,-0.1205810893158784,-0.1205810893158784,-0.1205810893158784,0.1205810893158784
0.508,-0.1203401717603986,-0.1203401717603986,-0.1203401717603986,0.1203401717603986
0.51,-0.1200997361084471,-0.1200997361084471,-0.1200997361084471,0.1200997361084471
0.512,-0.1198597814389401,-0.1198597814389401,-0.1198597814389401,0.1198597814389401
0.514,-0.1196203068336527,-0.1196203068336527,-0.1196203068336527,0.1196203068336527
0.516,-0.1193813113772182,-0.1193813113772182,-0.1193813113772182,0.1193813113772182
0.518,-0.119142794157129,-0.119142794157129,-0.119142794157129,0.119142794157129
0.52,-0.118904754263736,-0.118904754263736,-0.118904754263736,0.118904754263736
0.522,-0.118667190790249,-0.118667190790249,-0.118667190790249,0.118667190790249
0.524,-0.1184301028327363,-0.1184301028327363,-0.1184301028327363,0.1184301028327363
0.526,-0.1181934894901249,-0.1181934894901249,-0.1181934894901249,0.1181934894901249
0.528,-0.1179573498642005,-0.1179573498642005,-0.1179573498642005,0.1179573498642005
0.53,-0.1177216760359645,-0.1177216760359645,-0.1177216760359645,0.1177216760359645
0.532,-0.1174864691751081,-0.1174864691751081,-0.1174864691751081,0.1174864691751081
0.534,-0.1172517322005731,-0.1172517322005731,-0.1172517322005731,0.1172517322005731
0.536,-0.1170174641724358,-0.1170174641724358,-0.1170174641724358,0.1170174641724358
0.538,-0.1167836641525925,-0.1167836641525925,-0.1167836641525925,0.1167836641525925
0.54,-0.1165503312047587,-0.1165503312047587,-0.1165503312047587,0.1165503312047587
0.542,-0.1163174643944697,-0.1163174643944697,-0.1163174643944697,0.1163174643944697
0.544,-0.1160850627890805,-0.1160850627890805,-0.1160850627890805,0.1160850627890805
0.546,-0.1158531254577653,-0.1158531254577653,-0.1158531254577653,0.1158531254577653
0.548,-0.115621651471518,-0.115621651471518,-0.115621651471518,0.115621651471518
0.55,-0.1153906399031524,-0.1153906399031524,-0.1153906399031524,0.1153906399031524
0.552,-0.1151600898273014,-0.1151600898273014,-0.1151600898273014,0.1151600898273014
0.554,-0.1149300003204177,-0.1149300003204177,-0.1149300003204177,0.1149300003204177
0.556,-0.1147003704607736,-0.1147003704607736,-0.1147003704607736,0.1147003704607736
0.558,-0.1144711993284609,-0.1144711993284609,-0.1144711993284609,0.1144711993284609
0.56,-0.114242486005391,-0.114242486005391,-0.114242486005391,0.114242486005391
0.562,-0.1140142295752949,-0.1140142295752949,-0.1140142295752949,0.1140142295752949
0.564,-0.1137864291237232,-0.1137864291237232,-0.1137864291237232,0.1137864291237232
0.566,-0.1135590837380459,-0.1135590837380459,-0.1135590837380459,0.1135590837380459
0.568,-0.1133321925074527,-0.1133321925074527,-0.1133321925074527,0.1133321925074527
0.57,-0.1131057545229528,-0.1131057545229528,-0.1131057545229528,0.1131057545229528
0.572,-0.1128797688773752,-0.1128797688773752,-0.1128797688773752,0.1128797688773752
0.574,-0.1126542346653683,-0.1126542346653683,-0.1126542346653683,0.1126542346653683
0.576,-0.1124291509833999,-0.1124291509833999,-0.1124291509833999,0.1124291509833999
0.578,-0.1122045169297577,-0.1122045169297577,-0.1122045169297577,0.1122045169297577
0.58,-0.1119803316045488,-0.1119803316045488,-0.1119803316045488,0.1119803316045488
0.582,-0.1117565941096998,-0.1117565941096998,-0.1117565941096998,0.1117565941096998
0.584,-0.1115333035489571,-0.1115333035489571,-0.1115333035489571,0.1115333035489571
0.586,-0.1113104590278864,-0.1113104590278864,-0.1113104590278864,0.1113104590278864
0.588,-0.1110880596538732,-0.1110880596538732,-0.1110880596538732,0.1110880596538732
0.59,-0.1108661045361225,-0.1108661045361225,-0.1108661045361225,0.1108661045361225
0.592,-0.1106445927856588,-0.1106445927856588,-0.1106445927856588,0.1106445927856588
0.594,-0.1104235235153263,-0.1104235235153263,-0.1104235235153263,0.1104235235153263
0.596,-0.1102028958397886,-0.1102028958397886,-0.1102028958397886,0.1102028958397886
0.598,-0.109982708875529,-0.109982708875529,-0.109982708875529,0.109982708875529
0.6,-0.1097629617408504,-0.1097629617408504,-0.1097629617408504,0.1097629617408504
0.602,-0.1095436535558752,-0.1095436535558752,-0.1095436535558752,0.1095436535558752
0.604,-0.1093247834425454,-0.1093247834425454,-0.1093247834425454,0.1093247834425454
0.606,-0.1091063511612702,-0.1091063511612702,-0.1091063511612702,0.1091063511612702
0.608,-0.1088883553522502,-0.1088883553522502,-0.1088883553522502,0.1088883553522502
0.61,-0.10867079506433,-0.10867079506433,-0.10867079506433,0.10867079506433
0.612,-0.1084536694297703,-0.1084536694297703,-0.1084536694297703,0.1084536694297703
0.614,-0.108236977582704,-0.108236977582704,-0.108236977582704,0.108236977582704
0.616,-0.1080207186591362,-0.1080207186591362,-0.1080207186591362,0.1080207186591362
0.618,-0.1078048917969438,-0.1078048917969438,-0.1078048917969438,0.1078048917969438
0.62,-0.1075894961358759,-0.1075894961358759,-0.1075894961358759,0.1075894961358759
0.622,-0.1073745308175537,-0.1073745308175537,-0.1073745308175537,0.1073745308175537
0.624,-0.1071599949854704,-0.1071599949854704,-0.1071599949854704,0.1071599949854704
0.626,-0.1069458877849914,-0.1069458877849914,-0.1069458877849914,0.1069458877849914
0.628,-0.1067322083633539,-0.1067322083633539,-0.1067322083633539,0.1067322083633539
0.63,-0.1065189558696675,-0.1065189558696675,-0.1065189558696675,0.1065189558696675
0.632,-0.1063061294549135,-0.1063061294549135,-0.1063061294549135,0.1063061294549135
0.634,-0.1060937282719456,-0.1060937282719456,-0.1060937282719456,0.1060937282719456
0.636,-0.1058817514754893,-0.1058817514754893,-0.1058817514754893,0.1058817514754893
0.638,-0.1056701982221424,-0.1056701982221424,-0.1056701982221424,0.1056701982221424
0.64,-0.1054590676703746,-0.1054590676703746,-0.1054590676703746,0.1054590676703746
0.642,-0.1052483589805277,-0.1052483589805277,-0.1052483589805277,0.1052483589805277
0.644,-0.1050380713148156,-0.1050380713148156,-0.1050380713148156,0.1050380713148156
0.646,-0.1048282038373242,-0.1048282038373242,-0.1048282038373242,0.1048282038373242
0.648,-0.1046187557140116,-0.1046187557140116,-0.1046187557140116,0.1046187557140116
0.65,-0.1044097261127079,-0.1044097261127079,-0.1044097261127079,0.1044097261127079
0.652,-0.1042011142031151,-0.1042011142031151,-0.1042011142031151,0.1042011142031151
