"time","FixedPoint","MAX","MIN","Nbit","Ts","Yfp","alfa","m","nInput","scaleFactor","tin","yfin","yin","y"
5.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
5.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
6.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
7.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
8.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
9.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0
10.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,1.999999999999915e-05
10.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.0003200000000000006
10.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.000980000000000008
10.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.001999999999999986
10.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.003379999999999994
10.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.00512000000000001
10.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.007220000000000029
10.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.009679999999999979
10.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.0125
10.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.01568000000000003
10.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.01921999999999995
10.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.02311999999999998
10.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.02738000000000002
10.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.03200000000000006
10.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.03697999999999995
10.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.04232
10.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.04802000000000004
11.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.05399999999999992
11.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.05999999999999998
11.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.06600000000000003
11.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.07200000000000008
11.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.07799999999999994
11.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.08399999999999999
11.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.09000000000000005
11.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.0960000000000001
11.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.102
11.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.108
11.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1140000000000001
11.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1199999999999999
11.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.126
11.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.132
11.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1380000000000001
11.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.144
12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.15
12.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1560000000000001
12.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1619999999999999
12.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.168
12.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.174
12.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1800000000000001
12.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.186
12.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.192
12.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.1980000000000001
12.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2039999999999999
12.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.21
12.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2160000000000001
12.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2220000000000001
12.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.228
12.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.234
12.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2400000000000001
12.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2460000000000001
13.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2519999999999999
13.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.258
13.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2640000000000001
13.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.27
13.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.276
13.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.282
13.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.2880000000000001
13.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.294
13.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3
13.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.306
13.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3119999999999999
13.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3179999999999999
13.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.324
13.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3300000000000001
13.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.336
13.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.342
13.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.348
14.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3539999999999999
14.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.36
14.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.366
14.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3720000000000001
14.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3779999999999999
14.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.384
14.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3900000000000001
14.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.3960000000000001
14.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.402
14.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.408
14.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4140000000000001
14.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4199999999999999
14.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.426
14.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4320000000000001
14.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4380000000000001
14.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.444
15,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.45
15.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4560000000000001
15.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4619999999999999
15.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.468
15.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.474
15.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4800000000000001
15.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4859999999999999
15.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.492
15.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.4980000000000001
15.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.504
15.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.51
15.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.516
15.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5220000000000001
15.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.528
15.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.534
15.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.54
15.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5460000000000002
16.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.552
16.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5579999999999999
16.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5640000000000002
16.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.57
16.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5760000000000002
16.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5820000000000001
16.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.588
16.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.5940000000000002
16.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6000000000000001
16.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.606
16.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6120000000000002
16.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.618
16.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6239999999999999
16.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6300000000000001
16.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.636
16.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6420000000000002
16.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6480000000000001
17.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.654
17.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6600000000000003
17.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6660000000000001
17.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6719999999999999
17.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6780000000000002
17.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6840000000000001
17.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6899999999999999
17.46,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.6960000000000002
17.52,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7020000000000001
17.58,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.708
17.64,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7140000000000002
17.7,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.72
17.76,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7260000000000002
17.82,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7320000000000001
17.88,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.738
17.94,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7440000000000002
18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7500000000000001
18.06,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.756
18.12,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7620000000000002
18.18,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.768
18.24,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7739999999999999
18.3,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7800000000000001
18.36,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.786
18.42,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7920000000000003
18.48,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.7980000000000002
18.54,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.804
18.6,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8100000000000003
18.66,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8160000000000001
18.72,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.822
18.78,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8280000000000002
18.84,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8340000000000001
18.9,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.84
18.96,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8460000000000002
19.02,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8520000000000001
19.08,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8579999999999999
19.14,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8640000000000001
19.2,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.87
19.26,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8760000000000002
19.32,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8820000000000001
19.38,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.888
19.44,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.8940000000000002
19.5,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9000000000000001
19.56,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9059999999999999
19.62,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9120000000000001
19.68,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.918
19.74,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9239999999999999
19.8,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9300000000000002
19.86,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9360000000000001
19.92,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9420000000000003
19.98,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9480000000000002
20.04,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9539199999999999
20.1,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9595000000000001
20.16,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.96472
20.22,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9695799999999999
20.28,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9740800000000001
20.34,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.97822
20.4,0,1,0,1,0.1,0,0.1,0.1,1,1,10,1,0,0.9819999999999999
