"time","n","u[1]","u[2]","y[1]","y[2]"
0.35,2,0,0,0,0
0.352,2,0,0,0,0
0.354,2,0,0,0,0
0.356,2,0,0,0,0
0.358,2,0,0,0,0
0.36,2,0,0,0,0
0.362,2,0,0,0,0
0.364,2,0,0,0,0
0.366,2,0,0,0,0
0.368,2,0,0,0,0
0.37,2,0,0,0,0
0.372,2,0,0,0,0
0.374,2,0,0,0,0
0.376,2,0,0,0,0
0.378,2,0,0,0,0
0.38,2,0,0,0,0
0.382,2,0,0,0,0
0.384,2,0,0,0,0
0.386,2,0,0,0,0
0.388,2,0,0,0,0
0.39,2,0,0,0,0
0.392,2,0,0,0,0
0.394,2,0,0,0,0
0.396,2,0,0,0,0
0.398,2,0,0,0,0
0.4,2,0,0,0,0
0.402,2,0,0,0,0
0.404,2,0,0,0,0
0.406,2,0,0,0,0
0.408,2,0,0,0,0
0.41,2,0,0,0,0
0.412,2,0,0,0,0
0.414,2,0,0,0,0
0.416,2,0,0,0,0
0.418,2,0,0,0,0
0.42,2,0,0,0,0
0.422,2,0,0,0,0
0.424,2,0,0,0,0
0.426,2,0,0,0,0
0.428,2,0,0,0,0
0.43,2,0,0,0,0
0.432,2,0,0,0,0
0.434,2,0,0,0,0
0.436,2,0,0,0,0
0.438,2,0,0,0,0
0.44,2,0,0,0,0
0.442,2,0,0,0,0
0.444,2,0,0,0,0
0.446,2,0,0,0,0
0.448,2,0,0,0,0
0.45,2,0,0,0,0
0.452,2,0,0,0,0
0.454,2,0,0,0,0
0.456,2,0,0,0,0
0.458,2,0,0,0,0
0.46,2,0,0,0,0
0.462,2,0,0,0,0
0.464,2,0,0,0,0
0.466,2,0,0,0,0
0.468,2,0,0,0,0
0.47,2,0,0,0,0
0.472,2,0,0,0,0
0.474,2,0,0,0,0
0.476,2,0,0,0,0
0.478,2,0,0,0,0
0.48,2,0,0,0,0
0.482,2,0,0,0,0
0.484,2,0,0,0,0
0.486,2,0,0,0,0
0.488,2,0,0,0,0
0.49,2,0,0,0,0
0.492,2,0,0,0,0
0.494,2,0,0,0,0
0.496,2,0,0,0,0
0.498,2,0,0,0,0
0.5,2,0,0,0,0
0.502,2,0,0,0,0
0.504,2,0,0,0,0
0.506,2,0,0,0,0
0.508,2,0,0,0,0
0.51,2,0,0,0,0
0.512,2,0,0,0,0
0.514,2,0,0,0,0
0.516,2,0,0,0,0
0.518,2,0,0,0,0
0.52,2,0,0,0,0
0.522,2,0,0,0,0
0.524,2,0,0,0,0
0.526,2,0,0,0,0
0.528,2,0,0,0,0
0.53,2,0,0,0,0
0.532,2,0,0,0,0
0.534,2,0,0,0,0
0.536,2,0,0,0,0
0.538,2,0,0,0,0
0.54,2,0,0,0,0
0.542,2,0,0,0,0
0.544,2,0,0,0,0
0.546,2,0,0,0,0
0.548,2,0,0,0,0
0.55,2,0,0,0,0
0.552,2,0,0,0,0
0.554,2,0,0,0,0
0.556,2,0,0,0,0
0.558,2,0,0,0,0
0.56,2,0,0,0,0
0.562,2,0,0,0,0
0.564,2,0,0,0,0
0.566,2,0,0,0,0
0.568,2,0,0,0,0
0.57,2,0,0,0,0
0.572,2,0,0,0,0
0.574,2,0,0,0,0
0.576,2,0,0,0,0
0.578,2,0,0,0,0
0.58,2,0,0,0,0
0.582,2,0,0,0,0
0.584,2,0,0,0,0
0.586,2,0,0,0,0
0.588,2,0,0,0,0
0.59,2,0,0,0,0
0.592,2,0,0,0,0
0.594,2,0,0,0,0
0.596,2,0,0,0,0
0.598,2,0,0,0,0
0.6,2,0,0,0,0
0.602,2,0,0,0,0
0.604,2,0,0,0,0
0.606,2,0,0,0,0
0.608,2,0,0,0,0
0.61,2,0,0,0,0
0.612,2,0,0,0,0
0.614,2,0,0,0,0
0.616,2,0,0,0,0
0.618,2,0,0,0,0
0.62,2,0,0,0,0
0.622,2,0,0,0,0
0.624,2,0,0,0,0
0.626,2,0,0,0,0
0.628,2,0,0,0,0
0.63,2,0,0,0,0
0.632,2,0,0,0,0
0.634,2,0,0,0,0
0.636,2,0,0,0,0
0.638,2,0,0,0,0
0.64,2,0,0,0,0
0.642,2,0,0,0,0
0.644,2,0,0,0,0
0.646,2,0,0,0,0
0.648,2,0,0,0,0
0.65,2,0,0,0,0
0.652,2,0,0,0,0
0.654,2,0,0,0,0
0.656,2,0,0,0,0
0.658,2,0,0,0,0
0.66,2,0,0,0,0
0.662,2,0,0,0,0
0.664,2,0,0,0,0
0.666,2,0,0,0,0
0.668,2,0,0,0,0
0.67,2,0,0,0,0
0.672,2,0,0,0,0
0.674,2,0,0,0,0
0.676,2,0,0,0,0
0.678,2,0,0,0,0
0.68,2,0,0,0,0
0.682,2,0,0,0,0
0.684,2,0,0,0,0
0.686,2,0,0,0,0
0.688,2,0,0,0,0
0.69,2,0,0,0,0
0.692,2,0,0,0,0
0.694,2,0,0,0,0
0.696,2,0,0,0,0
0.698,2,0,0,0,0
0.7,2,0,0,0,0
0.702,2,0,0,0,0
0.704,2,0,0,0,0
0.706,2,0,0,0,0
0.708,2,0,0,0,0
0.71,2,0,0,0,0
0.712,2,0,0,0,0
0.714,2,0,0,0,0
0.716,2,0,0,0,0
0.718,2,0,0,0,0
0.72,2,0,0,0,0
0.722,2,0,0,0,0
0.724,2,0,0,0,0
0.726,2,0,0,0,0
0.728,2,0,0,0,0
0.73,2,0,0,0,0
0.732,2,0,0,0,0
0.734,2,0,0,0,0
0.736,2,0,0,0,0
0.738,2,0,0,0,0
0.74,2,0,0,0,0
0.742,2,0,0,0,0
0.744,2,0,0,0,0
0.746,2,0,0,0,0
0.748,2,0,0,0,0
0.75,2,0,0,0,0
0.752,2,0,0,0,0
0.754,2,0,0,0,0
0.756,2,0,0,0,0
0.758,2,0,0,0,0
0.76,2,0,0,0,0
0.762,2,0,0,0,0
0.764,2,0,0,0,0
0.766,2,0,0,0,0
0.768,2,0,0,0,0
0.77,2,0,0,0,0
0.772,2,0,0,0,0
0.774,2,0,0,0,0
0.776,2,0,0,0,0
0.778,2,0,0,0,0
0.78,2,0,0,0,0
0.782,2,0,0,0,0
0.784,2,0,0,0,0
0.786,2,0,0,0,0
0.788,2,0,0,0,0
0.79,2,0,0,0,0
0.792,2,0,0,0,0
0.794,2,0,0,0,0
0.796,2,0,0,0,0
0.798,2,0,0,0,0
0.8,2,0,0,0,0
0.802,2,0,0,0,0
0.804,2,0,0,0,0
0.806,2,0,0,0,0
0.808,2,0,0,0,0
0.81,2,0,0,0,0
0.812,2,0,0,0,0
0.814,2,0,0,0,0
0.816,2,0,0,0,0
0.818,2,0,0,0,0
0.82,2,0,0,0,0
0.822,2,0,0,0,0
0.824,2,0,0,0,0
0.826,2,0,0,0,0
0.828,2,0,0,0,0
0.83,2,0,0,0,0
0.832,2,0,0,0,0
0.834,2,0,0,0,0
0.836,2,0,0,0,0
0.838,2,0,0,0,0
0.84,2,0,0,0,0
0.842,2,0,0,0,0
0.844,2,0,0,0,0
0.846,2,0,0,0,0
0.848,2,0,0,0,0
0.85,2,0,0,0,0
0.852,2,0,0,0,0
0.854,2,0,0,0,0
0.856,2,0,0,0,0
0.858,2,0,0,0,0
0.86,2,0,0,0,0
0.862,2,0,0,0,0
0.864,2,0,0,0,0
0.866,2,0,0,0,0
0.868,2,0,0,0,0
0.87,2,0,0,0,0
0.872,2,0,0,0,0
0.874,2,0,0,0,0
0.876,2,0,0,0,0
0.878,2,0,0,0,0
0.88,2,0,0,0,0
0.882,2,0,0,0,0
0.884,2,0,0,0,0
0.886,2,0,0,0,0
0.888,2,0,0,0,0
0.89,2,0,0,0,0
0.892,2,0,0,0,0
0.894,2,0,0,0,0
0.896,2,0,0,0,0
0.898,2,0,0,0,0
0.9,2,0,0,0,0
0.902,2,0,0,0,0
0.904,2,0,0,0,0
0.906,2,0,0,0,0
0.908,2,0,0,0,0
0.91,2,0,0,0,0
0.912,2,0,0,0,0
0.914,2,0,0,0,0
0.916,2,0,0,0,0
0.918,2,0,0,0,0
0.92,2,0,0,0,0
0.922,2,0,0,0,0
0.924,2,0,0,0,0
0.926,2,0,0,0,0
0.928,2,0,0,0,0
0.93,2,0,0,0,0
0.932,2,0,0,0,0
0.934,2,0,0,0,0
0.936,2,0,0,0,0
0.938,2,0,0,0,0
0.94,2,0,0,0,0
0.942,2,0,0,0,0
0.944,2,0,0,0,0
0.946,2,0,0,0,0
0.948,2,0,0,0,0
0.95,2,0,0,0,0
0.952,2,0,0,0,0
0.954,2,0,0,0,0
0.956,2,0,0,0,0
0.958,2,0,0,0,0
0.96,2,0,0,0,0
0.962,2,0,0,0,0
0.964,2,0,0,0,0
0.966,2,0,0,0,0
0.968,2,0,0,0,0
0.97,2,0,0,0,0
0.972,2,0,0,0,0
0.974,2,0,0,0,0
0.976,2,0,0,0,0
0.978,2,0,0,0,0
0.98,2,0,0,0,0
0.982,2,0,0,0,0
0.984,2,0,0,0,0
0.986,2,0,0,0,0
0.988,2,0,0,0,0
0.99,2,0,0,0,0
0.992,2,0,0,0,0
0.994,2,0,0,0,0
0.996,2,0,0,0,0
0.998,2,0,0,0,0
1,2,0,0,0,0
1,2,0,0,0,0
