"time","vIn1.v","vIn2.v","vOut.v"
0.14,2.938926261462367,5,-2.060798965342254
0.142,2.408768370508581,5,-2.590886178001019
0.144,1.840622763423398,5,-3.158956042437611
0.146,1.243449435824277,5,-3.756049757541384
0.148,0.6266661678215284,5,-4.37275079873864
0.15,1.836909530733566e-15,5,-4.99933342221037
0.152,-0.6266661678215159,5,-5.625916045682092
0.154,-1.243449435824274,5,-6.242617086879357
0.156,-1.840622763423386,5,-6.839710801983122
0.158,-2.408768370508578,5,-7.407780666419723
0.16,-2.938926261462364,5,-7.937867879078488
0.162,-3.422735529643446,5,-8.421612647957051
0.164,-3.852566213878946,5,-8.851386029075069
0.166,-4.221639627510078,5,-9.220410239478149
0.168,-4.524135262330098,5,-9.522865546923843
0.17,-4.755282581475767,5,-9.753982050535697
0.172,-4.911436253643442,5,-9.910114904989443
0.174,-4.990133642141357,5,-9.988801801901102
0.176,-4.990133642141358,5,-9.988801801901104
0.178,-4.911436253643445,5,-9.910114904989445
0.18,-4.755282581475769,5,-9.753982050535699
0.182,-4.5241352623301,5,-9.522865546923844
0.184,-4.221639627510076,5,-9.220410239478145
0.186,-3.852566213878949,5,-8.851386029075071
0.188,-3.422735529643442,5,-8.421612647957048
0.19,-2.938926261462367,5,-7.93786787907849
0.192,-2.408768370508574,5,-7.407780666419719
0.194,-1.84062276342339,5,-6.839710801983126
0.196,-1.243449435824278,5,-6.242617086879361
0.198,-0.6266661678215201,5,-5.625916045682096
0.2,-2.449212707644755e-15,5,-4.999333422210374
0.202,0.6266661678215241,5,-4.372750798738644
0.204,1.243449435824265,5,-3.756049757541397
0.206,1.840622763423386,5,-3.158956042437623
0.208,2.408768370508569,5,-2.590886178001031
0.21,2.938926261462363,5,-2.060798965342258
0.212,3.422735529643439,5,-1.577054196463699
0.214,3.852566213878946,5,-1.147280815345675
0.216,4.221639627510073,5,-0.7782566049426016
0.218,4.524135262330098,5,-0.4758012974969023
0.22,4.755282581475767,5,-0.2446847938850478
0.222,4.911436253643444,5,-0.08855193943129808
0.224,4.990133642141358,5,-0.009865042519639091
0.226,4.990133642141358,5,-0.009865042519639065
0.228,4.911436253643443,5,-0.0885519394312989
0.23,4.755282581475769,5,-0.2446847938850459
0.232,4.524135262330097,5,-0.4758012974969043
0.234,4.221639627510076,5,-0.778256604942599
0.236,3.852566213878949,5,-1.147280815345672
0.238,3.422735529643449,5,-1.577054196463689
0.24,2.938926261462368,5,-2.060798965342253
0.242,2.408768370508582,5,-2.590886178001018
0.244,1.840622763423391,5,-3.158956042437618
0.246,1.243449435824278,5,-3.756049757541383
0.248,0.6266661678215207,5,-4.372750798738647
0.25,3.061515884555943e-15,5,-4.999333422210368
0.252,-0.6266661678215146,5,-5.62591604568209
0.254,-1.243449435824273,5,-6.242617086879355
0.256,-1.840622763423394,5,-6.839710801983129
0.258,-2.408768370508577,5,-7.407780666419721
0.26,-2.938926261462363,5,-7.937867879078486
0.262,-3.422735529643439,5,-8.421612647957044
0.264,-3.85256621387895,5,-8.851386029075073
0.266,-4.221639627510077,5,-9.220410239478147
0.268,-4.524135262330098,5,-9.522865546923843
0.27,-4.755282581475767,5,-9.753982050535697
0.272,-4.911436253643445,5,-9.910114904989445
0.274,-4.990133642141358,5,-9.988801801901104
0.276,-4.990133642141358,5,-9.988801801901104
0.278,-4.911436253643443,5,-9.910114904989443
0.28,-4.755282581475769,5,-9.753982050535699
0.282,-4.524135262330101,5,-9.522865546923844
0.284,-4.221639627510081,5,-9.22041023947815
0.286,-3.852566213878955,5,-8.851386029075078
0.288,-3.422735529643457,5,-8.421612647957062
0.29,-2.938926261462369,5,-7.937867879078492
0.292,-2.408768370508583,5,-7.407780666419727
0.294,-1.8406227634234,5,-6.839710801983135
0.296,-1.243449435824288,5,-6.24261708687937
0.298,-0.6266661678215213,5,-5.625916045682097
0.3,-3.673819061467132e-15,5,-4.999333422210375
0.302,0.6266661678215141,5,-4.372750798738654
0.304,1.243449435824263,5,-3.756049757541398
0.306,1.840622763423376,5,-3.158956042437632
0.308,2.408768370508576,5,-2.590886178001024
0.31,2.938926261462362,5,-2.060798965342259
0.312,3.422735529643438,5,-1.5770541964637
0.314,3.852566213878939,5,-1.147280815345682
0.316,4.221639627510077,5,-0.7782566049425972
0.318,4.524135262330097,5,-0.475801297496903
0.32,4.755282581475766,5,-0.2446847938850487
0.322,4.911436253643442,5,-0.08855193943129974
0.324,4.990133642141358,5,-0.009865042519638814
0.326,4.990133642141358,5,-0.009865042519639065
0.328,4.911436253643443,5,-0.08855193943129873
0.33,4.755282581475769,5,-0.244684793885046
0.332,4.524135262330093,5,-0.4758012974969078
0.334,4.221639627510072,5,-0.7782566049426025
0.336,3.852566213878944,5,-1.147280815345677
0.338,3.422735529643444,5,-1.577054196463694
0.34,2.938926261462369,5,-2.060798965342252
0.342,2.408768370508568,5,-2.590886178001032
0.344,1.8406227634234,5,-3.158956042437608
0.346,1.243449435824288,5,-3.756049757541373
0.348,0.6266661678215396,5,-4.372750798738628
0.35,4.28612223837832e-15,5,-4.999333422210367
0.352,-0.6266661678215134,5,-5.625916045682089
0.354,-1.243449435824263,5,-6.242617086879346
0.356,-1.840622763423376,5,-6.839710801983111
0.358,-2.408768370508576,5,-7.407780666419721
0.36,-2.938926261462362,5,-7.937867879078485
0.362,-3.422735529643437,5,-8.421612647957042
0.364,-3.852566213878939,5,-8.851386029075062
0.366,-4.221639627510067,5,-9.220410239478136
0.368,-4.524135262330097,5,-9.522865546923841
0.37,-4.755282581475766,5,-9.753982050535695
0.372,-4.911436253643442,5,-9.910114904989443
0.374,-4.990133642141357,5,-9.988801801901102
0.376,-4.990133642141358,5,-9.988801801901104
0.378,-4.911436253643443,5,-9.910114904989443
0.38,-4.755282581475769,5,-9.753982050535699
0.382,-4.524135262330101,5,-9.522865546923844
0.384,-4.221639627510072,5,-9.220410239478142
0.386,-3.852566213878945,5,-8.851386029075069
0.388,-3.422735529643444,5,-8.421612647957049
0.39,-2.938926261462369,5,-7.937867879078493
0.392,-2.408768370508584,5,-7.407780666419727
0.394,-1.840622763423384,5,-6.839710801983119
0.396,-1.243449435824272,5,-6.242617086879354
0.398,-0.6266661678215225,5,-5.625916045682099
0.4,-4.898425415289509e-15,5,-4.999333422210377
0.402,0.6266661678215304,5,-4.372750798738638
0.404,1.24344943582428,5,-3.756049757541382
0.406,1.840622763423392,5,-3.158956042437617
0.408,2.408768370508559,5,-2.590886178001041
0.41,2.938926261462362,5,-2.060798965342259
0.412,3.422735529643437,5,-1.577054196463701
0.414,3.852566213878938,5,-1.147280815345682
0.416,4.221639627510067,5,-0.7782566049426078
0.418,4.524135262330089,5,-0.4758012974969111
0.42,4.755282581475766,5,-0.2446847938850486
0.422,4.911436253643442,5,-0.08855193943129974
0.424,4.990133642141357,5,-0.009865042519639855
0.426,4.990133642141359,5,-0.009865042519638051
0.428,4.911436253643443,5,-0.08855193943129877
0.43,4.755282581475769,5,-0.2446847938850462
0.432,4.524135262330101,5,-0.4758012974968998
0.434,4.221639627510082,5,-0.7782566049425927
0.436,3.852566213878945,5,-1.147280815345676
0.438,3.422735529643445,5,-1.577054196463693
0.44,2.93892626146237,5,-2.060798965342251
0.442,2.408768370508584,5,-2.590886178001016
0.444,1.840622763423385,5,-3.158956042437624
0.446,1.243449435824272,5,-3.756049757541389
0.448,0.6266661678215231,5,-4.372750798738645
0.45,5.510728592200698e-15,5,-4.999333422210366
0.452,-0.6266661678215123,5,-5.625916045682088
0.454,-1.243449435824279,5,-6.242617086879362
0.456,-1.840622763423391,5,-6.839710801983126
0.458,-2.408768370508575,5,-7.407780666419719
0.46,-2.938926261462361,5,-7.937867879078484
0.462,-3.42273552964345,5,-8.421612647957055
0.464,-3.85256621387895,5,-8.851386029075073
0.466,-4.221639627510076,5,-9.220410239478145
0.468,-4.524135262330097,5,-9.522865546923841
0.47,-4.755282581475766,5,-9.753982050535695
0.472,-4.911436253643441,5,-9.910114904989442
0.474,-4.990133642141357,5,-9.988801801901102
0.476,-4.990133642141359,5,-9.988801801901104
0.478,-4.911436253643447,5,-9.910114904989447
0.48,-4.75528258147577,5,-9.753982050535699
0.482,-4.524135262330102,5,-9.522865546923846
0.484,-4.221639627510083,5,-9.220410239478152
0.486,-3.852566213878957,5,-8.85138602907508
0.488,-3.422735529643445,5,-8.421612647957051
0.49,-2.938926261462371,5,-7.937867879078495
0.492,-2.408768370508584,5,-7.407780666419729
0.494,-1.840622763423402,5,-6.839710801983137
0.496,-1.243449435824273,5,-6.242617086879356
0.498,-0.6266661678215237,5,-5.6259160456821
0.5,-6.123031769111886e-15,5,-4.999333422210378
0.502,0.6266661678215115,5,-4.372750798738656
0.504,1.243449435824261,5,-3.7560497575414
0.506,1.840622763423391,5,-3.158956042437618
0.508,2.408768370508574,5,-2.590886178001026
0.51,2.938926261462375,5,-2.060798965342246
0.512,3.422735529643449,5,-1.577054196463689
0.514,3.852566213878949,5,-1.147280815345672
0.516,4.221639627510076,5,-0.7782566049425989
0.518,4.524135262330097,5,-0.475801297496904
0.52,4.755282581475766,5,-0.2446847938850486
0.522,4.911436253643441,5,-0.08855193943130074
0.524,4.990133642141357,5,-0.009865042519640006
0.526,4.990133642141357,5,-0.009865042519640006
0.528,4.911436253643441,5,-0.08855193943130164
0.53,4.755282581475765,5,-0.2446847938850504
0.532,4.524135262330095,5,-0.4758012974969059
0.534,4.221639627510073,5,-0.7782566049426016
0.536,3.852566213878946,5,-1.147280815345675
0.538,3.422735529643446,5,-1.577054196463692
0.54,2.938926261462371,5,-2.06079896534225
0.542,2.408768370508585,5,-2.590886178001015
0.544,1.84062276342337,5,-3.158956042437639
0.546,1.243449435824256,5,-3.756049757541405
0.548,0.6266661678215067,5,-4.372750798738662
0.55,-1.102823344797943e-14,5,-4.999333422210382
0.552,-0.6266661678215286,5,-5.625916045682104
0.554,-1.243449435824278,5,-6.24261708687936
0.556,-1.84062276342339,5,-6.839710801983125
0.558,-2.408768370508573,5,-7.407780666419717
0.56,-2.93892626146236,5,-7.937867879078482
0.562,-3.422735529643461,5,-8.421612647957065
0.564,-3.852566213878937,5,-8.85138602907506
0.566,-4.221639627510066,5,-9.220410239478136
0.568,-4.524135262330089,5,-9.522865546923832
0.57,-4.75528258147576,5,-9.753982050535688
0.572,-4.911436253643438,5,-9.91011490498944
0.574,-4.990133642141355,5,-9.988801801901101
0.576,-4.99013364214136,5,-9.988801801901106
0.578,-4.911436253643444,5,-9.910114904989445
0.58,-4.75528258147577,5,-9.753982050535699
0.582,-4.524135262330102,5,-9.522865546923846
0.584,-4.221639627510083,5,-9.220410239478152
0.586,-3.852566213878958,5,-8.851386029075082
0.588,-3.422735529643459,5,-8.421612647957064
0.59,-2.938926261462385,5,-7.937867879078509
0.592,-2.408768370508601,5,-7.407780666419745
0.594,-1.84062276342342,5,-6.839710801983155
0.596,-1.243449435824274,5,-6.242617086879357
0.598,-0.6266661678215248,5,-5.625916045682101
0.6,-7.347638122934264e-15,5,-4.999333422210379
0.602,0.6266661678215103,5,-4.372750798738658
0.604,1.24344943582426,5,-3.756049757541401
0.606,1.840622763423373,5,-3.158956042437636
0.608,2.408768370508557,5,-2.590886178001043
0.61,2.938926261462345,5,-2.060798965342276
0.612,3.422735529643423,5,-1.577054196463715
0.614,3.852566213878948,5,-1.147280815345673
0.616,4.221639627510076,5,-0.7782566049425989
0.618,4.524135262330096,5,-0.4758012974969049
0.62,4.755282581475766,5,-0.2446847938850498
0.622,4.911436253643441,5,-0.08855193943130049
0.624,4.990133642141357,5,-0.009865042519639666
0.626,4.990133642141359,5,-0.00986504251963824
0.628,4.911436253643448,5,-0.08855193943129445
0.63,4.755282581475765,5,-0.2446847938850507
0.632,4.524135262330095,5,-0.475801297496906
0.634,4.221639627510074,5,-0.7782566049426006
0.636,3.852566213878947,5,-1.147280815345674
0.638,3.422735529643446,5,-1.577054196463691
0.64,2.938926261462372,5,-2.060798965342249
0.642,2.408768370508586,5,-2.590886178001014
0.644,1.840622763423404,5,-3.158956042437605
0.646,1.243449435824292,5,-3.75604975754137
0.648,0.626666167821508,5,-4.37275079873866
0.65,-9.803627094157052e-15,5,-4.999333422210381
0.652,-0.6266661678215274,5,-5.625916045682104
0.654,-1.243449435824276,5,-6.242617086879359
0.656,-1.840622763423389,5,-6.839710801983125
0.658,-2.408768370508573,5,-7.407780666419716
0.66,-2.938926261462359,5,-7.937867879078482
0.662,-3.422735529643435,5,-8.421612647957039
0.664,-3.852566213878959,5,-8.851386029075082
0.666,-4.221639627510084,5,-9.220410239478154
0.668,-4.524135262330104,5,-9.522865546923848
0.67,-4.755282581475771,5,-9.753982050535701
0.672,-4.911436253643445,5,-9.910114904989445
0.674,-4.990133642141358,5,-9.988801801901104
0.676,-4.990133642141358,5,-9.988801801901104
0.678,-4.911436253643444,5,-9.910114904989445
0.68,-4.75528258147577,5,-9.753982050535699
0.682,-4.524135262330088,5,-9.522865546923832
0.684,-4.221639627510065,5,-9.220410239478134
0.686,-3.852566213878936,5,-8.85138602907506
0.688,-3.42273552964346,5,-8.421612647957065
0.69,-2.938926261462387,5,-7.937867879078509
0.692,-2.408768370508602,5,-7.407780666419747
0.694,-1.840622763423421,5,-6.839710801983157
0.696,-1.24344943582431,5,-6.242617086879393
0.698,-0.6266661678215614,5,-5.625916045682137
0.7,-8.572244476756641e-15,5,-4.99933342221038
0.702,0.6266661678215092,5,-4.372750798738658
0.704,1.243449435824259,5,-3.756049757541403
0.706,1.840622763423372,5,-3.158956042437637
0.708,2.408768370508557,5,-2.590886178001043
0.71,2.938926261462344,5,-2.060798965342277
0.712,3.422735529643421,5,-1.577054196463716
0.714,3.852566213878925,5,-1.147280815345696
0.716,4.221639627510074,5,-0.7782566049426007
0.718,4.524135262330096,5,-0.4758012974969049
0.72,4.755282581475765,5,-0.2446847938850507
0.722,4.911436253643441,5,-0.08855193943130134
0.724,4.990133642141357,5,-0.009865042519640032
0.726,4.990133642141359,5,-0.009865042519638139
0.728,4.911436253643448,5,-0.08855193943129433
0.73,4.755282581475776,5,-0.244684793885039
0.732,4.524135262330111,5,-0.4758012974968899
0.734,4.221639627510074,5,-0.7782566049426006
0.736,3.852566213878947,5,-1.147280815345673
0.738,3.422735529643448,5,-1.57705419646369
0.74,2.938926261462373,5,-2.060798965342248
0.742,2.408768370508588,5,-2.590886178001012
0.744,1.840622763423405,5,-3.158956042437604
0.746,1.243449435824293,5,-3.756049757541369
0.748,0.6266661678215445,5,-4.372750798738624
0.75,2.694811604767033e-14,5,-4.999333422210344
0.752,-0.6266661678215262,5,-5.625916045682102
0.754,-1.243449435824275,5,-6.242617086879358
0.756,-1.840622763423388,5,-6.839710801983123
0.758,-2.408768370508571,5,-7.407780666419715
0.76,-2.938926261462358,5,-7.93786787907848
0.762,-3.422735529643434,5,-8.421612647957039
0.764,-3.852566213878936,5,-8.851386029075059
0.766,-4.221639627510065,5,-9.220410239478134
0.768,-4.524135262330103,5,-9.522865546923846
0.77,-4.75528258147577,5,-9.753982050535699
0.772,-4.911436253643444,5,-9.910114904989445
0.774,-4.990133642141358,5,-9.988801801901104
0.776,-4.990133642141358,5,-9.988801801901104
0.778,-4.911436253643445,5,-9.910114904989445
0.78,-4.755282581475771,5,-9.753982050535701
0.782,-4.524135262330104,5,-9.522865546923848
0.784,-4.221639627510084,5,-9.220410239478154
0.786,-3.852566213878936,5,-8.85138602907506
0.788,-3.422735529643435,5,-8.421612647957039
0.79,-2.938926261462359,5,-7.937867879078482
0.792,-2.408768370508573,5,-7.407780666419717
0.794,-1.840622763423389,5,-6.839710801983125
0.796,-1.243449435824276,5,-6.242617086879359
0.798,-0.6266661678215274,5,-5.625916045682104
0.8,-9.796850830579018e-15,5,-4.999333422210381
0.802,0.6266661678215433,5,-4.372750798738624
0.804,1.243449435824292,5,-3.75604975754137
0.806,1.840622763423404,5,-3.158956042437605
0.808,2.408768370508586,5,-2.590886178001014
0.81,2.938926261462372,5,-2.060798965342249
0.812,3.422735529643446,5,-1.577054196463691
0.814,3.852566213878924,5,-1.147280815345697
0.816,4.221639627510055,5,-0.7782566049426194
0.818,4.52413526233008,5,-0.475801297496921
0.82,4.755282581475765,5,-0.2446847938850505
0.822,4.911436253643441,5,-0.0885519394313013
0.824,4.990133642141357,5,-0.00986504251963964
0.826,4.990133642141359,5,-0.009865042519637834
0.828,4.911436253643448,5,-0.08855193943129457
0.83,4.755282581475776,5,-0.2446847938850389
0.832,4.524135262330111,5,-0.4758012974968898
0.834,4.221639627510094,5,-0.7782566049425803
0.836,3.852566213878971,5,-1.14728081534565
0.838,3.422735529643448,5,-1.57705419646369
0.84,2.938926261462374,5,-2.060798965342247
0.842,2.408768370508588,5,-2.590886178001012
0.844,1.840622763423406,5,-3.158956042437603
0.846,1.243449435824294,5,-3.756049757541367
0.848,0.6266661678215456,5,-4.372750798738622
0.85,2.817272240149271e-14,5,-4.999333422210343
0.852,-0.6266661678214898,5,-5.625916045682066
0.854,-1.243449435824274,5,-6.242617086879357
0.856,-1.840622763423386,5,-6.839710801983122
0.858,-2.40876837050857,5,-7.407780666419715
0.86,-2.938926261462357,5,-7.93786787907848
0.862,-3.422735529643433,5,-8.421612647957037
0.864,-3.852566213878934,5,-8.851386029075059
0.866,-4.221639627510064,5,-9.220410239478133
0.868,-4.524135262330088,5,-9.522865546923832
0.87,-4.755282581475759,5,-9.753982050535688
0.872,-4.911436253643444,5,-9.910114904989445
0.874,-4.990133642141358,5,-9.988801801901104
0.876,-4.990133642141358,5,-9.988801801901104
0.878,-4.911436253643445,5,-9.910114904989445
0.88,-4.755282581475771,5,-9.753982050535701
0.882,-4.524135262330104,5,-9.522865546923848
0.884,-4.221639627510084,5,-9.220410239478154
0.886,-3.852566213878959,5,-8.851386029075083
0.888,-3.422735529643436,5,-8.421612647957041
0.89,-2.93892626146236,5,-7.937867879078482
0.892,-2.408768370508573,5,-7.407780666419717
0.894,-1.84062276342339,5,-6.839710801983125
0.896,-1.243449435824278,5,-6.24261708687936
0.898,-0.6266661678215286,5,-5.625916045682104
0.9,-1.10214571844014e-14,5,-4.999333422210382
0.902,0.6266661678215067,5,-4.372750798738662
0.904,1.243449435824256,5,-3.756049757541405
0.906,1.840622763423403,5,-3.158956042437606
0.908,2.408768370508585,5,-2.590886178001014
0.91,2.938926261462371,5,-2.06079896534225
0.912,3.422735529643446,5,-1.577054196463692
0.914,3.852566213878946,5,-1.147280815345675
0.916,4.221639627510073,5,-0.7782566049426016
0.918,4.524135262330095,5,-0.4758012974969059
0.92,4.755282581475765,5,-0.2446847938850504
0.922,4.911436253643441,5,-0.08855193943130159
0.924,4.990133642141359,5,-0.009865042519638125
0.926,4.990133642141357,5,-0.009865042519639855
0.928,4.911436253643441,5,-0.08855193943130055
0.93,4.755282581475766,5,-0.2446847938850489
0.932,4.524135262330097,5,-0.4758012974969043
0.934,4.221639627510076,5,-0.778256604942599
0.936,3.852566213878949,5,-1.147280815345672
0.938,3.422735529643475,5,-1.577054196463663
0.94,2.938926261462375,5,-2.060798965342246
0.942,2.40876837050859,5,-2.59088617800101
0.944,1.840622763423407,5,-3.158956042437601
0.946,1.243449435824296,5,-3.756049757541366
0.948,0.6266661678215468,5,-4.372750798738621
0.95,2.939732875531509e-14,5,-4.999333422210342
0.952,-0.6266661678214885,5,-5.625916045682064
0.954,-1.243449435824239,5,-6.242617086879321
0.956,-1.840622763423352,5,-6.839710801983087
0.958,-2.408768370508569,5,-7.407780666419713
0.96,-2.938926261462356,5,-7.937867879078478
0.962,-3.422735529643432,5,-8.421612647957037
0.964,-3.852566213878934,5,-8.851386029075057
0.966,-4.221639627510063,5,-9.220410239478133
0.968,-4.524135262330087,5,-9.52286554692383
0.97,-4.755282581475758,5,-9.753982050535686
0.972,-4.911436253643437,5,-9.910114904989438
0.974,-4.990133642141355,5,-9.988801801901101
0.976,-4.990133642141358,5,-9.988801801901104
0.978,-4.911436253643445,5,-9.910114904989445
0.98,-4.755282581475772,5,-9.753982050535701
0.982,-4.524135262330105,5,-9.522865546923848
0.984,-4.221639627510086,5,-9.220410239478156
0.986,-3.852566213878961,5,-8.851386029075085
0.988,-3.422735529643463,5,-8.421612647957067
0.99,-2.938926261462389,5,-7.937867879078513
0.992,-2.408768370508575,5,-7.407780666419719
0.994,-1.840622763423391,5,-6.839710801983126
0.996,-1.243449435824279,5,-6.242617086879362
0.998,-0.62666616782153,5,-5.625916045682106
1,-1.224606353822377e-14,5,-4.999333422210384
1,-1.224606353822377e-14,5,-4.999333422210384
