"time","controller.bus.temperature"
0.574,297.5968163946976
0.576,297.6341287778833
0.578,297.6714852866702
0.58,297.7088852715538
0.582,297.7463280886012
0.584,297.7838130994517
0.586,297.8213396713164
0.588,297.8589071769787
0.59,297.8965116025016
0.592,297.9341548782618
0.594,297.9718366592566
0.596,298.0095563044739
0.598,298.0473131775627
0.6,298.0851066468337
0.602,298.1229360852591
0.604,298.1608008704726
0.606,298.1987003847692
0.608,298.2366340151053
0.61,298.2746011530987
0.612,298.3126011950291
0.614,298.3506335418372
0.616,298.3886975991253
0.618,298.4267927771569
0.62,298.4649184908575
0.622,298.5030741598135
0.624,298.5412592082732
0.626,298.5794730651459
0.628,298.6177151640027
0.63,298.655984943076
0.632,298.6942818452597
0.634,298.7326053181091
0.636,298.7709548138408
0.638,298.8093296893792
0.64,298.847728539618
0.642,298.886151619598
0.644,298.9245983854227
0.646,298.963068297198
0.648,299.0015608190198
0.65,299.0400754189603
0.652,299.0786115690559
0.654,299.1171687452945
0.656,299.1557464276025
0.658,299.1943440998321
0.66,299.2329612497488
0.662,299.2715973690182
0.664,299.3102519531937
0.666,299.3489245017036
0.668,299.3876145178381
0.67,299.4263215087371
0.672,299.4650449853769
0.674,299.503784462558
0.676,299.5425394588916
0.678,299.5813094967879
0.68,299.6200941024422
0.682,299.6588928058231
0.684,299.6977051406591
0.686,299.7365306444266
0.688,299.7753684082068
0.69,299.81421716663
0.692,299.8530774478544
0.694,299.8919487810572
0.696,299.9308306980694
0.698,299.9697227333441
0.7,300.0086244239231
0.702,300.047535309405
0.704,300.0864549319119
0.706,300.1253828360576
0.708,300.1643185689144
0.71,300.2032616799807
0.712,300.2422117211488
0.714,300.2811682466716
0.716,300.3201308131307
0.718,300.3590989794037
0.72,300.3980723066311
0.722,300.4370503581845
0.724,300.4760326996332
0.726,300.5150188987126
0.728,300.5540085252906
0.73,300.5930011513357
0.732,300.6319963508844
0.734,300.6709937000081
0.736,300.7099927767813
0.738,300.7489936431096
0.74,300.7879960433507
0.742,300.8269990994347
0.744,300.8660024120462
0.746,300.90500558437
0.748,300.9440082220711
0.75,300.983009933275
0.752,301.0220103285474
0.754,301.0610090208748
0.756,301.1000056256444
0.758,301.1389997606234
0.76,301.1779910459408
0.762,301.2169791040659
0.764,301.2559635597894
0.766,301.2949440402029
0.768,301.3339201746795
0.77,301.3728915948531
0.772,301.4118579345995
0.774,301.450818830016
0.776,301.4897739194012
0.778,301.5287228432359
0.78,301.5676652441623
0.782,301.6066007669648
0.784,301.6455290585495
0.786,301.6844497679249
0.788,301.7233631275168
0.79,301.7622686160587
0.792,301.8011656395518
0.794,301.8400538680405
0.796,301.878932974136
0.798,301.9178026330086
0.8,301.9566625223777
0.802,301.9955123225023
0.804,302.0343517161731
0.806,302.0731803887024
0.808,302.1119980279154
0.81,302.1508043241409
0.812,302.1895989702029
0.814,302.22838166141
0.816,302.2671520955483
0.818,302.3059099728704
0.82,302.3446549960876
0.822,302.3833868703603
0.824,302.4221053032887
0.826,302.4608100049042
0.828,302.49950068766
0.83,302.538177066422
0.832,302.5768388584594
0.834,302.6154857834368
0.836,302.6541175634034
0.838,302.6927337880524
0.84,302.7313342726516
0.842,302.7699187641219
0.844,302.8084869916624
0.846,302.8470386867114
0.848,302.885573582935
0.85,302.9240914162169
0.852,302.9625919246463
0.854,303.0010748485076
0.856,303.0395399302693
0.858,303.0779869145724
0.86,303.1164155482204
0.862,303.1548255801671
0.864,303.1932167615068
0.866,303.2315888454621
0.868,303.2699415873739
0.87,303.3082747446895
0.872,303.3465880769523
0.874,303.3848813457905
0.876,303.4231543149056
0.878,303.4614067500623
0.88,303.4996384190768
0.882,303.5378490918062
0.884,303.5760385401369
0.886,303.6142065169809
0.888,303.6523523906463
0.89,303.6904762924014
0.892,303.7285779958826
0.894,303.7666572764205
0.896,303.8047139110242
0.898,303.8427476783647
0.9,303.8807583587584
0.902,303.91874573415
0.904,303.9567095880976
0.906,303.9946497057544
0.908,304.032565873854
0.91,304.0704578806927
0.912,304.1083255161137
0.914,304.1461685714903
0.916,304.18398683971
0.918,304.2217801151573
0.92,304.259548193698
0.922,304.2972908726621
0.924,304.3350079508281
0.926,304.3726992284057
0.928,304.4103645070202
0.93,304.4480035896955
0.932,304.4856162808379
0.934,304.5232023862196
0.936,304.5607617129621
0.938,304.59829406952
0.94,304.6357992656647
0.942,304.6732771124676
0.944,304.7107274222836
0.944676,304.7233802723663
0.944676,304.7233802723663
0.946,304.748041290502
0.948,304.7848591520659
0.95,304.8211554897255
0.952,304.8569370510641
0.954,304.8922034355261
0.956,304.9269587055404
0.958,304.9612195688185
0.96,304.9949770969621
0.962,305.0282312899712
0.964,305.0609821478457
0.966,305.0932296705856
0.968,305.1250033008712
0.97,305.1562906938817
0.972,305.1870863052127
0.974,305.2173901348643
0.976,305.2472021828365
0.978,305.2765405977893
0.98,305.3054261948315
0.982,305.3338358511155
0.984,305.361769566641
0.986,305.3892273414082
0.988,305.416209175417
0.99,305.4427645923546
0.992,305.4688612689519
0.994,305.4944979580797
0.996,305.519674659738
0.998,305.5443913739267
1,305.5686643685326
1,305.5686643685326
