"time","T"
0.414,1.553208010437531
0.416,1.555863746362562
0.418,1.55851932162429
0.42,1.561174736222715
0.422,1.563829990157838
0.424,1.566485083429657
0.426,1.569140016038173
0.428,1.571794787983386
0.43,1.574449399265295
0.432,1.577103849883902
0.434,1.579758139839206
0.436,1.582412269131207
0.438,1.585066237759905
0.44,1.5877200457253
0.442,1.590373693027391
0.444,1.59302717966618
0.446,1.595680505641665
0.448,1.598333670953848
0.45,1.600986675602728
0.452,1.603639519588304
0.454,1.606292202910578
0.456,1.608944725569548
0.458,1.611597087565215
0.46,1.61424928889758
0.462,1.616901329566641
0.464,1.619553209572399
0.466,1.622204928914855
0.468,1.624856487594007
0.47,1.627507885609856
0.472,1.630159122962402
0.474,1.632810199651645
0.476,1.635461115677585
0.478,1.638111871040222
0.48,1.640762465739556
0.482,1.643412899775587
0.484,1.646063173148315
0.486,1.64871328585774
0.488,1.651363237903861
0.49,1.65401302928668
0.492,1.656662660006196
0.494,1.659312130062409
0.496,1.661961439455318
0.498,1.664610588184925
0.5,1.667259576251229
0.502,1.669908403654229
0.504,1.672557070393927
0.506,1.675205576470321
0.508,1.677853921883412
0.51,1.680502106633201
0.512,1.683150130719686
0.514,1.685797994142868
0.516,1.688445696902748
0.518,1.691093238999324
0.52,1.693740620432597
0.522,1.696387841202567
0.524,1.699034901309235
0.526,1.701681800752599
0.528,1.70432853953266
0.53,1.706975117649418
0.532,1.709621535102873
0.534,1.712267791893025
0.536,1.714913888019874
0.538,1.71755982348342
0.54,1.720205598283662
0.542,1.722851212420602
0.544,1.725496665894239
0.546,1.728141958704573
0.548,1.730787090851603
0.55,1.733432062335331
0.552,1.736076879881328
0.554,1.738721553226391
0.556,1.741366066565805
0.558,1.744010419899569
0.56,1.746654613227683
0.562,1.749298646550148
0.564,1.751942519866962
0.566,1.754586233178128
0.568,1.757229786483644
0.57,1.75987317978351
0.572,1.762516413077726
0.574,1.765159486366293
0.576,1.76780239964921
0.578,1.770445152926478
0.58,1.773087746198096
0.582,1.775730179464064
0.584,1.778372452724383
0.586,1.781014565979052
0.588,1.783656519228071
0.59,1.786298312471441
0.592,1.788939945709161
0.594,1.791581418941231
0.596,1.794222732167652
0.598,1.796863885388423
0.6,1.799504878603545
0.602,1.802145711813016
0.604,1.804786385016838
0.606,1.807426898215011
0.608,1.810067251407534
0.61,1.812707444594407
0.612,1.815347477775631
0.614,1.817987350951205
0.616,1.820627064121129
0.618,1.823266617285404
0.62,1.825906010444029
0.622,1.828545243597004
0.624,1.83118431674433
0.626,1.833823229886006
0.628,1.836461983022032
0.63,1.839100576152409
0.632,1.841739009277136
0.634,1.844377282396214
0.636,1.847015395509642
0.638,1.84965334861742
0.64,1.852291141719548
0.642,1.854928774816027
0.644,1.857566247906857
0.646,1.860203560992036
0.648,1.862840714071566
0.65,1.865477707145447
0.652,1.868114540213677
0.654,1.870751213276258
0.656,1.87338772633319
0.658,1.876024079384472
0.66,1.878660272430104
0.662,1.881296305470086
0.664,1.883932178504419
0.666,1.886567891533102
0.668,1.889203444556136
0.67,1.89183883757352
0.672,1.894474070585254
0.674,1.897109143591339
0.676,1.899744056591774
0.678,1.902378809586559
0.68,1.905013402575695
0.682,1.907647835559181
0.684,1.910282108537017
0.686,1.912916221509204
0.688,1.915550174475741
0.69,1.91818397261952
0.692,1.920817620030928
0.694,1.923451108054836
0.696,1.92608443670004
0.698,1.928717605975332
0.7,1.931350615889506
0.702,1.933983466451355
0.704,1.936616157669674
0.706,1.939248689553256
0.708,1.941881062110893
0.71,1.944513275351381
0.712,1.947145329283513
0.714,1.949777223916081
0.716,1.952408959257881
0.718,1.955040535317705
0.72,1.957671952104347
0.722,1.9603032096266
0.724,1.962934307893259
0.726,1.965565246913117
0.728,1.968196026694967
0.73,1.970826647247603
0.732,1.97345710857982
0.734,1.976087410700409
0.736,1.978717553618165
0.738,1.981347537341882
0.74,1.983977361880352
0.742,1.986607027242371
0.744,1.989236533436731
0.746,1.991865880472225
0.748,1.994495068357649
0.75,1.997124097101794
0.752,1.999752966713455
0.754,2.002381677201425
0.756,2.005010228574499
0.758,2.007638620841469
0.76,2.010266854011129
0.762,2.012894928092273
0.764,2.015522843093695
0.766,2.018150599024187
0.768,2.020778195892544
0.77,2.023405633707559
0.772,2.026032912478027
0.774,2.028660032212739
0.776,2.03128699292049
0.778,2.033913794610075
0.78,2.036540437290285
0.782,2.039166920969916
0.784,2.041793245657759
0.786,2.04441941136261
0.788,2.047045418093262
0.79,2.049671265858507
0.792,2.052296954667141
0.794,2.054922484527956
0.796,2.057547855449747
0.798,2.060173067441306
0.8,2.062798120511427
0.802,2.065423014668904
0.804,2.068047749922531
0.806,2.070672326281101
0.808,2.073296743753408
0.81,2.075921002348245
0.812,2.078545102074406
0.814,2.081169042940684
0.816,2.083792824955874
0.818,2.086416448128769
0.82,2.089039912468162
0.822,2.091663217982847
0.824,2.094286364681618
0.826,2.096909352573268
0.828,2.09953218166659
0.83,2.102154851970379
0.832,2.104777363493429
0.834,2.107399716244531
0.836,2.110021910232481
0.838,2.112643945466072
0.84,2.115265821954097
0.842,2.117887539705351
0.844,2.120509098728626
0.846,2.123130499032716
0.848,2.125751740626416
0.85,2.128372823518518
0.852,2.130993747717815
0.854,2.133614513233103
0.856,2.136235120073174
0.858,2.138855568246822
0.86,2.141475857762841
0.862,2.144095988630023
0.864,2.146715960857163
0.866,2.149335774453055
0.868,2.151955429426492
0.87,2.154574925786267
0.872,2.157194263541174
0.874,2.159813442700008
0.876,2.162432463271561
0.878,2.165051325264626
0.88,2.167670028687998
0.882,2.17028857355047
0.884,2.172906959860837
0.886,2.175525187627891
0.888,2.178143256860425
0.89,2.180761167567235
0.892,2.183378919757113
0.894,2.185996513438852
0.896,2.188613948621247
0.898,2.191231225313091
0.9,2.193848343523178
0.902,2.196465303260301
0.904,2.199082104533254
0.906,2.20169874735083
0.908,2.204315231721824
0.91,2.206931557655028
0.912,2.209547725159237
0.914,2.212163734243243
0.916,2.214779584915842
0.918,2.217395277185824
0.92,2.220010811061987
0.922,2.222626186553121
0.924,2.225241403668022
0.926,2.227856462415481
0.928,2.230471362804295
0.93,2.233086104843254
0.932,2.235700688541154
0.934,2.238315113906789
0.936,2.240929380948951
0.938,2.243543489676434
0.94,2.246157440098032
0.942,2.248771232222538
0.944,2.251384866058746
0.946,2.253998341615451
0.948,2.256611658901444
0.95,2.25922481792552
0.952,2.261837818696473
0.954,2.264450661223095
0.956,2.267063345514182
0.958,2.269675871578525
0.96,2.27228823942492
0.962,2.274900449062159
0.964,2.277512500499037
0.966,2.280124395792538
0.968,2.282736134891835
0.97,2.285347715913666
0.972,2.287959138867655
0.974,2.290570403763422
0.976,2.293181510610593
0.978,2.29579245941879
0.98,2.298403250197635
0.982,2.301013882956751
0.984,2.30362435770576
0.986,2.306234674454287
0.988,2.308844833211953
0.99,2.311454833988382
0.992,2.314064676793196
0.994,2.316674361636018
0.996,2.319283888526471
0.998,2.321893257474178
1,2.324502468488761
1,2.324502468488761
