"time","A","T0","T_inf","c_p","h","m","der(T)","T"
0.242,1,100,25,4200,767,1,-13.10429645625912,96.75755556230547
0.244,1,100,25,4200,767,1,-13.09951087300954,96.7313502824512
0.246,1,100,25,4200,767,1,-13.09472704297307,96.70515460298164
0.248,1,100,25,4200,767,1,-13.08994496614971,96.67896852389673
0.25,1,100,25,4200,767,1,-13.08516464253946,96.65279204519651
0.252,1,100,25,4200,767,1,-13.08038607214231,96.62662516688094
0.254,1,100,25,4200,767,1,-13.07560925495826,96.60046788895005
0.256,1,100,25,4200,767,1,-13.07083419098732,96.57432021140386
0.258,1,100,25,4200,767,1,-13.06606088022949,96.54818213424232
0.26,1,100,25,4200,767,1,-13.06128932268476,96.52205365746546
0.262,1,100,25,4200,767,1,-13.05651951835314,96.49593478107327
0.264,1,100,25,4200,767,1,-13.05175146723463,96.46982550506576
0.266,1,100,25,4200,767,1,-13.04698516932922,96.44372582944293
0.268,1,100,25,4200,767,1,-13.04222062463692,96.41763575420477
0.27,1,100,25,4200,767,1,-13.03745783315772,96.39155527935127
0.272,1,100,25,4200,767,1,-13.03269679489163,96.36548440488245
0.274,1,100,25,4200,767,1,-13.02793750983865,96.33942313079832
0.276,1,100,25,4200,767,1,-13.02317997799877,96.31337145709885
0.278,1,100,25,4200,767,1,-13.01842419937199,96.28732938378407
0.28,1,100,25,4200,767,1,-13.01367017395832,96.26129691085393
0.282,1,100,25,4200,767,1,-13.00891787567998,96.23527389550968
0.284,1,100,25,4200,767,1,-13.0041670823924,96.2092591213143
0.286,1,100,25,4200,767,1,-12.99941802444146,96.18325384961423
0.288,1,100,25,4200,767,1,-12.99467070182715,96.15725808040942
0.29,1,100,25,4200,767,1,-12.98992511454948,96.13127181369987
0.292,1,100,25,4200,767,1,-12.98518126260844,96.1052950494856
0.294,1,100,25,4200,767,1,-12.98043914600404,96.0793277877666
0.296,1,100,25,4200,767,1,-12.97569876473628,96.05337002854286
0.298,1,100,25,4200,767,1,-12.97096011880515,96.0274217718144
0.3,1,100,25,4200,767,1,-12.96622320821066,96.00148301758121
0.302,1,100,25,4200,767,1,-12.96148803295281,95.97555376584329
0.304,1,100,25,4200,767,1,-12.9567545930316,95.94963401660065
0.306,1,100,25,4200,767,1,-12.95202288844701,95.92372376985327
0.308,1,100,25,4200,767,1,-12.94729291919907,95.89782302560116
0.31,1,100,25,4200,767,1,-12.94256468528776,95.87193178384433
0.312,1,100,25,4200,767,1,-12.93783818671309,95.84605004458275
0.314,1,100,25,4200,767,1,-12.93311342347505,95.82017780781646
0.316,1,100,25,4200,767,1,-12.92839039557365,95.79431507354543
0.318,1,100,25,4200,767,1,-12.92366910300889,95.76846184176968
0.32,1,100,25,4200,767,1,-12.91894954578076,95.7426181124892
0.322,1,100,25,4200,767,1,-12.91423172388927,95.71678388570398
0.324,1,100,25,4200,767,1,-12.90951563733442,95.69095916141403
0.326,1,100,25,4200,767,1,-12.9048012861162,95.66514393961937
0.328,1,100,25,4200,767,1,-12.90008867023462,95.63933822031996
0.33,1,100,25,4200,767,1,-12.89537778968968,95.61354200351583
0.332,1,100,25,4200,767,1,-12.89066864448137,95.58775528920698
0.334,1,100,25,4200,767,1,-12.8859612346097,95.56197807739338
0.336,1,100,25,4200,767,1,-12.88125556007466,95.53621036807506
0.338,1,100,25,4200,767,1,-12.87655162087626,95.51045216125202
0.34,1,100,25,4200,767,1,-12.8718494170145,95.48470345692424
0.342,1,100,25,4200,767,1,-12.86714877988184,95.4589633318171
0.344,1,100,25,4200,767,1,-12.86244975427989,95.43323203125887
0.346,1,100,25,4200,767,1,-12.85775244556928,95.4075101321916
0.348,1,100,25,4200,767,1,-12.85305685374999,95.38179763461534
0.35,1,100,25,4200,767,1,-12.84836297882204,95.35609453853006
0.352,1,100,25,4200,767,1,-12.84367082078541,95.33040084393573
0.354,1,100,25,4200,767,1,-12.83898037964011,95.30471655083241
0.356,1,100,25,4200,767,1,-12.83429165538614,95.27904165922007
0.358,1,100,25,4200,767,1,-12.8296046480235,95.2533761690987
0.36,1,100,25,4200,767,1,-12.82491935755219,95.22772008046832
0.362,1,100,25,4200,767,1,-12.82023578397221,95.20207339332892
0.364,1,100,25,4200,767,1,-12.81555392728356,95.17643610768049
0.366,1,100,25,4200,767,1,-12.81087378748624,95.15080822352306
0.368,1,100,25,4200,767,1,-12.80619536458024,95.1251897408566
0.37,1,100,25,4200,767,1,-12.80151865856558,95.09958065968114
0.372,1,100,25,4200,767,1,-12.79684366944224,95.07398097999662
0.374,1,100,25,4200,767,1,-12.79217039721023,95.04839070180311
0.376,1,100,25,4200,767,1,-12.78749884186956,95.02280982510059
0.378,1,100,25,4200,767,1,-12.78282900342021,94.99723834988903
0.38,1,100,25,4200,767,1,-12.77816088186219,94.97167627616847
0.382,1,100,25,4200,767,1,-12.77349447719551,94.94612360393889
0.384,1,100,25,4200,767,1,-12.76882978942014,94.92058033320026
0.386,1,100,25,4200,767,1,-12.76416681853611,94.89504646395264
0.388,1,100,25,4200,767,1,-12.75950556454341,94.869521996196
0.39,1,100,25,4200,767,1,-12.75484602744204,94.84400692993033
0.392,1,100,25,4200,767,1,-12.750188207232,94.81850126515566
0.394,1,100,25,4200,767,1,-12.74553210391328,94.79300500187196
0.396,1,100,25,4200,767,1,-12.7408777174859,94.76751814007925
0.398,1,100,25,4200,767,1,-12.73622504794984,94.7420406797775
0.4,1,100,25,4200,767,1,-12.73157407657734,94.71657251841567
0.402,1,100,25,4200,767,1,-12.72692467043256,94.69111292805314
0.404,1,100,25,4200,767,1,-12.72227696426379,94.66566264655528
0.406,1,100,25,4200,767,1,-12.71763095751836,94.64022167089583
0.408,1,100,25,4200,767,1,-12.71298664964362,94.61478999804851
0.41,1,100,25,4200,767,1,-12.70834404008692,94.58936762498703
0.412,1,100,25,4200,767,1,-12.7037031282956,94.56395454868516
0.414,1,100,25,4200,767,1,-12.69906391371701,94.53855076611663
0.416,1,100,25,4200,767,1,-12.69442639579849,94.51315627425511
0.418,1,100,25,4200,767,1,-12.6897905739874,94.4877710700744
0.42,1,100,25,4200,767,1,-12.68515644773106,94.46239515054816
0.422,1,100,25,4200,767,1,-12.68052401647683,94.43702851265019
0.424,1,100,25,4200,767,1,-12.67589327967205,94.41167115335415
0.426,1,100,25,4200,767,1,-12.67126423676408,94.38632306963382
0.428,1,100,25,4200,767,1,-12.66663688720025,94.36098425846289
0.43,1,100,25,4200,767,1,-12.6620112304279,94.3356547168151
0.432,1,100,25,4200,767,1,-12.65738726589439,94.31033444166421
0.434,1,100,25,4200,767,1,-12.65276499304706,94.28502342998391
0.436,1,100,25,4200,767,1,-12.64814441133326,94.25972167874795
0.438,1,100,25,4200,767,1,-12.64352552020032,94.23442918493004
0.44,1,100,25,4200,767,1,-12.6389083190956,94.20914594550393
0.442,1,100,25,4200,767,1,-12.63429280746644,94.18387195744333
0.444,1,100,25,4200,767,1,-12.62967898476018,94.15860721772198
0.446,1,100,25,4200,767,1,-12.62506685042417,94.1333517233136
0.448,1,100,25,4200,767,1,-12.62045640390576,94.10810547119192
0.45,1,100,25,4200,767,1,-12.61584764465229,94.08286845833068
0.452,1,100,25,4200,767,1,-12.61124057211111,94.05764068170359
0.454,1,100,25,4200,767,1,-12.60663518572955,94.03242213828439
0.456,1,100,25,4200,767,1,-12.60203148495498,94.00721282504681
0.458,1,100,25,4200,767,1,-12.59742946923472,93.98201273896456
0.46,1,100,25,4200,767,1,-12.59282913801613,93.95682187701141
0.462,1,100,25,4200,767,1,-12.58823049074655,93.93164023616103
0.464,1,100,25,4200,767,1,-12.58363352687333,93.9064678133872
0.466,1,100,25,4200,767,1,-12.57903824584381,93.88130460566362
0.468,1,100,25,4200,767,1,-12.57444464710534,93.85615060996403
0.47,1,100,25,4200,767,1,-12.56985273010525,93.83100582326215
0.472,1,100,25,4200,767,1,-12.56526249429091,93.80587024253173
0.474,1,100,25,4200,767,1,-12.56067393910965,93.78074386474647
0.476,1,100,25,4200,767,1,-12.55608706400882,93.75562668688011
0.478,1,100,25,4200,767,1,-12.55150186843576,93.73051870590638
0.48,1,100,25,4200,767,1,-12.54691835183782,93.70541991879901
0.482,1,100,25,4200,767,1,-12.54233651366234,93.6803303225317
0.484,1,100,25,4200,767,1,-12.53775635335667,93.65524991407825
0.486,1,100,25,4200,767,1,-12.53317787036815,93.63017869041231
0.488,1,100,25,4200,767,1,-12.52860106414414,93.60511664850766
0.49,1,100,25,4200,767,1,-12.52402593413196,93.58006378533798
0.492,1,100,25,4200,767,1,-12.51945247977898,93.55502009787706
0.494,1,100,25,4200,767,1,-12.51488070053253,93.52998558309858
0.496,1,100,25,4200,767,1,-12.51031059583995,93.50496023797628
0.498,1,100,25,4200,767,1,-12.50574216514861,93.4799440594839
0.5,1,100,25,4200,767,1,-12.50117540790583,93.45493704459517
0.502,1,100,25,4200,767,1,-12.49661032355897,93.4299391902838
0.504,1,100,25,4200,767,1,-12.49204691155537,93.40495049352353
0.506,1,100,25,4200,767,1,-12.48748517134237,93.37997095128807
0.508,1,100,25,4200,767,1,-12.48292510236733,93.3550005605512
0.51,1,100,25,4200,767,1,-12.47836670407757,93.33003931828658
0.512,1,100,25,4200,767,1,-12.47380997592047,93.305087221468
0.514,1,100,25,4200,767,1,-12.46925491734334,93.28014426706913
0.516,1,100,25,4200,767,1,-12.46470152779355,93.25521045206376
0.518,1,100,25,4200,767,1,-12.46014979852442,93.23028572855613
0.52,1,100,25,4200,767,1,-12.45559968215911,93.20536983711638
0.522,1,100,25,4200,767,1,-12.45105122963572,93.18046305667541
0.524,1,100,25,4200,767,1,-12.44650444033145,93.15556538382282
0.526,1,100,25,4200,767,1,-12.44195931362349,93.13067681514819
0.528,1,100,25,4200,767,1,-12.43741584888904,93.10579734724114
0.53,1,100,25,4200,767,1,-12.43287404550529,93.08092697669129
0.532,1,100,25,4200,767,1,-12.42833390284944,93.0560657000882
0.534,1,100,25,4200,767,1,-12.42379542029869,93.03121351402153
0.536,1,100,25,4200,767,1,-12.41925859723025,93.00637041508089
0.538,1,100,25,4200,767,1,-12.41472343302129,92.98153639985584
0.54,1,100,25,4200,767,1,-12.41018992704903,92.95671146493601
0.542,1,100,25,4200,767,1,-12.40565807869065,92.93189560691101
0.544,1,100,25,4200,767,1,-12.40112788732336,92.90708882237041
0.546,1,100,25,4200,767,1,-12.39659935232435,92.8822911079039
0.548,1,100,25,4200,767,1,-12.39207247307083,92.857502460101
0.55,1,100,25,4200,767,1,-12.38754724893997,92.83272287555134
0.552,1,100,25,4200,767,1,-12.383023679309,92.80795235084457
0.554,1,100,25,4200,767,1,-12.37850176355509,92.78319088257024
0.556,1,100,25,4200,767,1,-12.37398150105545,92.75843846731797
0.558,1,100,25,4200,767,1,-12.36946289118728,92.7336951016774
0.56,1,100,25,4200,767,1,-12.36494593332777,92.70896078223809
0.562,1,100,25,4200,767,1,-12.36043062685411,92.68423550558967
0.564,1,100,25,4200,767,1,-12.35591697114352,92.65951926832174
0.566,1,100,25,4200,767,1,-12.35140496557318,92.63481206702393
0.568,1,100,25,4200,767,1,-12.34689460952029,92.61011389828582
0.57,1,100,25,4200,767,1,-12.34238590236205,92.58542475869699
0.572,1,100,25,4200,767,1,-12.33787884347565,92.56074464484711
0.574,1,100,25,4200,767,1,-12.3333734322383,92.53607355332575
0.576,1,100,25,4200,767,1,-12.32886966802718,92.51141148072251
0.578,1,100,25,4200,767,1,-12.3243675502195,92.48675842362701
0.58,1,100,25,4200,767,1,-12.31986707819246,92.46211437862887
0.582,1,100,25,4200,767,1,-12.31536825132325,92.43747934231766
0.584,1,100,25,4200,767,1,-12.31087106898906,92.412853311283
0.586,1,100,25,4200,767,1,-12.3063755305671,92.38823628211452
0.588,1,100,25,4200,767,1,-12.30188163543457,92.36362825140179
0.59,1,100,25,4200,767,1,-12.29738938296865,92.33902921573446
0.592,1,100,25,4200,767,1,-12.29289877254655,92.31443917170209
0.594,1,100,25,4200,767,1,-12.28840980354546,92.2898581158943
0.596,1,100,25,4200,767,1,-12.28392247534258,92.26528604490072
0.598,1,100,25,4200,767,1,-12.27943678731511,92.24072295531093
0.6,1,100,25,4200,767,1,-12.27495273884025,92.21616884371456
0.602,1,100,25,4200,767,1,-12.27047032929519,92.19162370670118
0.604,1,100,25,4200,767,1,-12.26598955805713,92.16708754086044
0.606,1,100,25,4200,767,1,-12.26151042450326,92.14256034278189
0.608,1,100,25,4200,767,1,-12.25703292801079,92.1180421090552
0.61,1,100,25,4200,767,1,-12.25255706795692,92.09353283626994
0.612,1,100,25,4200,767,1,-12.24808284371882,92.06903252101573
0.614,1,100,25,4200,767,1,-12.24361025467372,92.04454115988216
0.616,1,100,25,4200,767,1,-12.23913930019879,92.02005874945884
0.618,1,100,25,4200,767,1,-12.23466997967125,91.99558528633537
0.62,1,100,25,4200,767,1,-12.23020229246828,91.9711207671014
0.622,1,100,25,4200,767,1,-12.22573623796708,91.94666518834649
0.624,1,100,25,4200,767,1,-12.22127181554486,91.92221854666025
0.626,1,100,25,4200,767,1,-12.21680902457881,91.89778083863231
0.628,1,100,25,4200,767,1,-12.21234786444611,91.87335206085226
0.63,1,100,25,4200,767,1,-12.20788833452398,91.84893220990969
0.632,1,100,25,4200,767,1,-12.20343043418961,91.82452128239424
0.634,1,100,25,4200,767,1,-12.1989741628202,91.80011927489551
0.636,1,100,25,4200,767,1,-12.19451951808948,91.77572617467511
0.638,1,100,25,4200,767,1,-12.19006649119953,91.75134193355676
0.64,1,100,25,4200,767,1,-12.18561509082492,91.7269665990413
0.642,1,100,25,4200,767,1,-12.18116531633319,91.70260016766542
0.644,1,100,25,4200,767,1,-12.17671716709185,91.6782426359658
0.646,1,100,25,4200,767,1,-12.17227064246845,91.65389400047914
0.648,1,100,25,4200,767,1,-12.16782574183052,91.62955425774207
0.65,1,100,25,4200,767,1,-12.16338246454558,91.60522340429132
0.652,1,100,25,4200,767,1,-12.15894080998118,91.58090143666357
0.654,1,100,25,4200,767,1,-12.15450077750483,91.55658835139543
0.656,1,100,25,4200,767,1,-12.15006236648409,91.53228414502368
0.658,1,100,25,4200,767,1,-12.14562557628646,91.50798881408494
0.66,1,100,25,4200,767,1,-12.1411904062795,91.48370235511589
0.662,1,100,25,4200,767,1,-12.13675685583072,91.45942476465324
0.664,1,100,25,4200,767,1,-12.13232492430767,91.43515603923366
0.666,1,100,25,4200,767,1,-12.12789461107787,91.4108961753938
0.668,1,100,25,4200,767,1,-12.12346591550885,91.38664516967039
0.67,1,100,25,4200,767,1,-12.11903883696816,91.36240301860008
0.672,1,100,25,4200,767,1,-12.11461337482331,91.33816971871954
0.674,1,100,25,4200,767,1,-12.11018952844184,91.31394526656548
0.676,1,100,25,4200,767,1,-12.10576729719129,91.28972965867457
0.678,1,100,25,4200,767,1,-12.10134668043917,91.26552289158347
0.68,1,100,25,4200,767,1,-12.09692767755304,91.24132496182889
0.682,1,100,25,4200,767,1,-12.09251028790042,91.21713586594751
0.684,1,100,25,4200,767,1,-12.08809451084883,91.19295560047597
0.686,1,100,25,4200,767,1,-12.08368034576582,91.16878416195101
0.688,1,100,25,4200,767,1,-12.07926779201891,91.14462154690928
0.69,1,100,25,4200,767,1,-12.07485684897563,91.12046775188742
0.692,1,100,25,4200,767,1,-12.07044751600353,91.09632277342219
0.694,1,100,25,4200,767,1,-12.06603979247012,91.07218660805022
0.696,1,100,25,4200,767,1,-12.06163367774294,91.04805925230818
0.698,1,100,25,4200,767,1,-12.05722917118954,91.02394070273279
0.7,1,100,25,4200,767,1,-12.05282627217742,90.99983095586073
0.702,1,100,25,4200,767,1,-12.04842498007413,90.97573000822862
0.704,1,100,25,4200,767,1,-12.04402529424721,90.95163785637322
0.706,1,100,25,4200,767,1,-12.03962721406417,90.92755449683116
0.708,1,100,25,4200,767,1,-12.03523073889255,90.90347992613913
0.71,1,100,25,4200,767,1,-12.03083586809989,90.87941414083382
0.712,1,100,25,4200,767,1,-12.02644260105372,90.8553571374519
0.714,1,100,25,4200,767,1,-12.02205093712156,90.83130891253005
0.716,1,100,25,4200,767,1,-12.01766087567095,90.80726946260496
0.718,1,100,25,4200,767,1,-12.01327241606943,90.78323878421331
0.72,1,100,25,4200,767,1,-12.00888555768453,90.75921687389179
0.722,1,100,25,4200,767,1,-12.00450029988376,90.73520372817704
0.724,1,100,25,4200,767,1,-12.00011664203468,90.71119934360578
0.726,1,100,25,4200,767,1,-11.9957345835048,90.68720371671468
0.728,1,100,25,4200,767,1,-11.99135412366167,90.66321684404041
0.73,1,100,25,4200,767,1,-11.98697526187281,90.63923872211966
0.732,1,100,25,4200,767,1,-11.98259799750575,90.6152693474891
0.734,1,100,25,4200,767,1,-11.97822232992803,90.59130871668543
0.736,1,100,25,4200,767,1,-11.97384825850718,90.56735682624533
0.738,1,100,25,4200,767,1,-11.96947578261073,90.54341367270544
0.74,1,100,25,4200,767,1,-11.96510490160622,90.51947925260249
0.742,1,100,25,4200,767,1,-11.96073561486117,90.49555356247315
0.744,1,100,25,4200,767,1,-11.95636792174311,90.47163659885406
0.746,1,100,25,4200,767,1,-11.95200182161959,90.44772835828196
0.748,1,100,25,4200,767,1,-11.94763731385812,90.4238288372935
0.75,1,100,25,4200,767,1,-11.94327439782625,90.39993803242535
0.752,1,100,25,4200,767,1,-11.9389130728915,90.37605594021421
0.754,1,100,25,4200,767,1,-11.93455334371615,90.35218258619011
0.756,1,100,25,4200,767,1,-11.9301952313425,90.32831808557823
0.758,1,100,25,4200,767,1,-11.92583870978671,90.30446229609413
0.76,1,100,25,4200,767,1,-11.92148377844321,90.28061521442177
0.762,1,100,25,4200,767,1,-11.91713043670644,90.25677683724518
0.764,1,100,25,4200,767,1,-11.91277868397083,90.23294716124835
0.766,1,100,25,4200,767,1,-11.9084285196308,90.2091261831152
0.768,1,100,25,4200,767,1,-11.9040799430808,90.1853138995298
0.77,1,100,25,4200,767,1,-11.89973295371525,90.1615103071761
0.772,1,100,25,4200,767,1,-11.8953875509286,90.1377154027381
0.774,1,100,25,4200,767,1,-11.89104373411527,90.11392918289977
0.776,1,100,25,4200,767,1,-11.88670150266969,90.09015164434508
0.778,1,100,25,4200,767,1,-11.8823608559863,90.06638278375807
0.78,1,100,25,4200,767,1,-11.87802179345952,90.04262259782269
0.782,1,100,25,4200,767,1,-11.87368431448381,90.01887108322293
0.784,1,100,25,4200,767,1,-11.86934841845358,89.99512823664281
0.786,1,100,25,4200,767,1,-11.86501410476327,89.97139405476629
0.788,1,100,25,4200,767,1,-11.86068137280732,89.94766853427735
0.79,1,100,25,4200,767,1,-11.85635022198015,89.92395167186001
0.792,1,100,25,4200,767,1,-11.8520206516762,89.90024346419823
0.794,1,100,25,4200,767,1,-11.8476926612899,89.87654390797599
0.796,1,100,25,4200,767,1,-11.84336625021569,89.8528529998773
0.798,1,100,25,4200,767,1,-11.83904141784799,89.82917073658614
0.8,1,100,25,4200,767,1,-11.83471816358125,89.80549711478649
0.802,1,100,25,4200,767,1,-11.83039648680989,89.78183213116235
0.804,1,100,25,4200,767,1,-11.82607638692834,89.7581757823977
0.806,1,100,25,4200,767,1,-11.82175786333105,89.73452806517653
0.808,1,100,25,4200,767,1,-11.81744091541244,89.71088897618284
0.81,1,100,25,4200,767,1,-11.81312554256694,89.6872585121006
0.812,1,100,25,4200,767,1,-11.808811744189,89.66363666961379
0.814,1,100,25,4200,767,1,-11.80449951967303,89.64002344540643
0.816,1,100,25,4200,767,1,-11.80018886841348,89.61641883616247
0.818,1,100,25,4200,767,1,-11.79587978980478,89.59282283856592
