"time","n","sum"
0.572,10,55
0.574,10,55
0.576,10,55
0.578,10,55
0.58,10,55
0.582,10,55
0.584,10,55
0.586,10,55
0.588,10,55
0.59,10,55
0.592,10,55
0.594,10,55
0.596,10,55
0.598,10,55
0.6,10,55
0.602,10,55
0.604,10,55
0.606,10,55
0.608,10,55
0.61,10,55
0.612,10,55
0.614,10,55
0.616,10,55
0.618,10,55
0.62,10,55
0.622,10,55
0.624,10,55
0.626,10,55
0.628,10,55
0.63,10,55
0.632,10,55
0.634,10,55
0.636,10,55
0.638,10,55
0.64,10,55
0.642,10,55
0.644,10,55
0.646,10,55
0.648,10,55
0.65,10,55
0.652,10,55
0.654,10,55
0.656,10,55
0.658,10,55
0.66,10,55
0.662,10,55
0.664,10,55
0.666,10,55
0.668,10,55
0.67,10,55
0.672,10,55
0.674,10,55
0.676,10,55
0.678,10,55
0.68,10,55
0.682,10,55
0.684,10,55
0.686,10,55
0.688,10,55
0.69,10,55
0.692,10,55
0.694,10,55
0.696,10,55
0.698,10,55
0.7,10,55
0.702,10,55
0.704,10,55
0.706,10,55
0.708,10,55
0.71,10,55
0.712,10,55
0.714,10,55
0.716,10,55
0.718,10,55
0.72,10,55
0.722,10,55
0.724,10,55
0.726,10,55
0.728,10,55
0.73,10,55
0.732,10,55
0.734,10,55
0.736,10,55
0.738,10,55
0.74,10,55
0.742,10,55
0.744,10,55
0.746,10,55
0.748,10,55
0.75,10,55
0.752,10,55
0.754,10,55
0.756,10,55
0.758,10,55
0.76,10,55
0.762,10,55
0.764,10,55
0.766,10,55
0.768,10,55
0.77,10,55
0.772,10,55
0.774,10,55
0.776,10,55
0.778,10,55
0.78,10,55
0.782,10,55
0.784,10,55
0.786,10,55
0.788,10,55
0.79,10,55
0.792,10,55
0.794,10,55
0.796,10,55
0.798,10,55
0.8,10,55
0.802,10,55
0.804,10,55
0.806,10,55
0.808,10,55
0.81,10,55
0.812,10,55
0.814,10,55
0.816,10,55
0.818,10,55
0.82,10,55
0.822,10,55
0.824,10,55
0.826,10,55
0.828,10,55
0.83,10,55
0.832,10,55
0.834,10,55
0.836,10,55
0.838,10,55
0.84,10,55
0.842,10,55
0.844,10,55
0.846,10,55
0.848,10,55
0.85,10,55
0.852,10,55
0.854,10,55
0.856,10,55
0.858,10,55
0.86,10,55
0.862,10,55
0.864,10,55
0.866,10,55
0.868,10,55
0.87,10,55
0.872,10,55
0.874,10,55
0.876,10,55
0.878,10,55
0.88,10,55
0.882,10,55
0.884,10,55
0.886,10,55
0.888,10,55
0.89,10,55
0.892,10,55
0.894,10,55
0.896,10,55
0.898,10,55
0.9,10,55
0.902,10,55
0.904,10,55
0.906,10,55
0.908,10,55
0.91,10,55
0.912,10,55
0.914,10,55
0.916,10,55
0.918,10,55
0.92,10,55
0.922,10,55
0.924,10,55
0.926,10,55
0.928,10,55
0.93,10,55
0.932,10,55
0.934,10,55
0.936,10,55
0.938,10,55
0.94,10,55
0.942,10,55
0.944,10,55
0.946,10,55
0.948,10,55
0.95,10,55
0.952,10,55
0.954,10,55
0.956,10,55
0.958,10,55
0.96,10,55
0.962,10,55
0.964,10,55
0.966,10,55
0.968,10,55
0.97,10,55
0.972,10,55
0.974,10,55
0.976,10,55
0.978,10,55
0.98,10,55
0.982,10,55
0.984,10,55
0.986,10,55
0.988,10,55
0.99,10,55
0.992,10,55
0.994,10,55
0.996,10,55
0.998,10,55
1,10,55
1,10,55
