"time","max1","min1","n","sum1"
0.956,5,1,5,15
0.958,5,1,5,15
0.96,5,1,5,15
0.962,5,1,5,15
0.964,5,1,5,15
0.966,5,1,5,15
0.968,5,1,5,15
0.97,5,1,5,15
0.972,5,1,5,15
0.974,5,1,5,15
0.976,5,1,5,15
0.978,5,1,5,15
0.98,5,1,5,15
0.982,5,1,5,15
0.984,5,1,5,15
0.986,5,1,5,15
0.988,5,1,5,15
0.99,5,1,5,15
0.992,5,1,5,15
0.994,5,1,5,15
0.996,5,1,5,15
0.998,5,1,5,15
1,5,1,5,15
1,5,1,5,15
